LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2004 ? ID2006,0,2004,2006,-1.0,NaN,0.016912007698459245,1.7757608083382208,1087.5,134.9356413333709,111.43501240708957,0.0,
ID2012 ? ID2014,0,2012,2014,-1.0,0.06981317007977318,0.03711111701177906,1.6700002655300579,1957.5,134.8525214415509,110.9715176444713,0.0,
ID2006 ? ID2008,0,2006,2008,-1.0,0.023271056693257727,0.0021624687302766723,0.29193327858735074,1207.5,134.78967469407723,110.41324593203386,0.0,
ID2008 ? ID2010,0,2008,2010,-1.0,0.005108280737544379,0.0040155479045354435,2.4695619612892976,1582.5,134.8210980678141,109.03289821635221,0.0,
ID2010 ? ID2012,0,2010,2012,-1.0,0.06981317007977318,0.056769092944285504,2.5546091824928476,1912.5,135.10302148138044,109.05101733911175,0.0,
ID2019 ? ID2021,0,2019,2021,-1.0,0.009973310011396168,0.00925882564938405,2.916530079555976,2452.5,134.51852138844492,109.55201741877076,0.0,
ID2021 ? ID2023,0,2021,2023,-1.0,0.017453292519943295,0.0074799847669057146,1.3463972580430286,2700.0,134.1010213220624,110.30351753825929,0.0,
ID2010 ? ID2017,0,2010,2017,-1.0,0.03490658503988659,0.0066903017637856554,0.602127158740709,1935.0,134.6855214149979,107.54801710013471,0.0,
ID2017 ? ID2019,0,2017,2019,-1.0,0.009973310011396168,0.0028549925897897416,0.8993226657837686,2137.5,134.6855214149979,107.71501712668771,0.0,
ID2027 ? ID2029,1,2027,2029,-1.0,NaN,0.0027031495569140836,1.7435314642095838,1177.5,150.3835239109803,137.10702180001647,0.0,
ID2034 ? ID2036,2,2034,2036,-1.0,0.014959965017094254,0.011386078560706246,2.391076497748312,1800.0,190.96453036336032,102.37101627699158,0.0,
ID2032 ? ID2034,2,2032,2034,-1.0,NaN,0.002667310082977026,1.1202702348503508,1485.0,190.96453036336032,101.53601614422656,0.0,
ID2049 ? ID2051,2,2049,2051,-1.0,0.014959965017094254,0.015088584377602611,3.1686027192965485,3465.0,190.96453036336032,96.94351541401895,0.0,
