LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2614,2614,0,-1.0,94.99350959434447,224.19485597701382,0.0,1590.0,106,5.0,1,,115.24819027921811,114.0,32.0,204.0,780115.0,21.546924438711745,94.49165312454251,86.0,0.0,255.0,639614.0,37.13655193628702,-0.013027695049586657,-0.14120219220147961,0.021863972868218232,0.10888244305779987
ID2611,2611,0,-1.0,96.30150972645248,224.19485597701382,0.0,1005.0,67,5.0,1,,116.1332545427723,116.0,47.0,213.0,786106.0,20.12522045311415,86.05111537893691,82.0,0.0,255.0,582480.0,25.526108158250604,-0.00614364594661097,-0.07134253012899273,-0.01709744625524043,-0.117279654616416
ID2626,2626,1,-1.0,89.18017567386443,194.1108529385295,0.0,3315.0,221,5.0,1,,114.517654010936,113.0,32.0,213.0,775170.0,24.145766642237334,90.09573053627237,86.0,0.0,255.0,609858.0,28.60938210580334,-0.00796680716639358,-0.07617624148632711,0.03928407634818879,0.23807182535214194
ID2619,2619,1,-1.0,105.74817734723258,170.56685056058524,0.0,750.0,50,5.0,1,,112.87546166346841,113.0,39.0,186.0,764054.0,18.613788191621122,89.00339784311221,86.0,4.0,238.0,602464.0,25.323308142133673,-0.018478111897515335,-0.22832442435501568,0.0170896651647484,0.11811102955043284
ID2630,2630,1,-1.0,88.8895089778404,191.64018602232545,0.0,3555.0,237,5.0,1,,119.16472152459848,120.0,46.0,204.0,806626.0,21.75999856965053,89.66228394149908,90.0,0.0,255.0,606924.0,31.690062235460204,0.026289047138481677,0.28055885905847544,0.03592006087174368,0.19621288412137006
ID2623,2623,1,-1.0,90.48817580597243,193.67485289449348,0.0,2610.0,174,5.0,1,,116.87309794652397,116.0,49.0,188.0,791114.0,20.94571811701292,89.08184369922087,86.0,0.0,246.0,602995.0,27.82800480535056,-0.010416097990340307,-0.11746317408620176,0.027593646045060583,0.17191936635536983
ID2638,2638,2,-1.0,98.4815099466325,191.49485267431348,0.0,1695.0,113,5.0,1,,112.9221450731311,113.0,46.0,190.0,764370.0,20.02134635970299,97.81031171517377,94.0,0.0,255.0,662078.0,29.69524193625636,0.0026437732117744832,0.029743589115440006,0.012210743858164844,0.07946921978723806
