LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2004 ? ID2006,0,2004,2006,-1.0,NaN,0.002376959560844585,1.889682850871445,952.5,110.01734444508512,63.601506423752156,0.0,
ID2006 ? ID2011,0,2006,2011,-1.0,3.946601969742407E-4,0.001279756546153546,2.821863184268569,2452.5,107.89184423040959,63.89217311977616,0.0,
ID2006 ? ID2008,0,2006,2008,-1.0,9.718212913773907E-4,7.280087513057082E-4,1.6052592966290866,2452.5,109.19984436251761,63.38350640173415,0.0,
ID2017 ? ID2022,1,2017,2022,-1.0,3.7220825146061975E-4,0.002671903168268805,7.013745816705613,2242.5,119.15517870133974,49.57683834059401,0.0,
ID2017 ? ID2019,1,2017,2019,-1.0,0.0014595737958958456,0.0023612283801065824,4.427303212699842,1867.5,122.93384574965177,53.57350541092404,0.0,
ID2015 ? ID2017,1,2015,2017,-1.0,NaN,3.3996104798129185E-4,0.2906666960240045,502.5,122.06184566157977,51.68417188676803,0.0,
ID2028 ? ID2030,2,2028,2030,-1.0,NaN,0.002208128675893118,3.2790710837012806,1462.5,132.32601336492735,55.31750558706807,0.0,
ID2030 ? ID2032,2,2030,2032,-1.0,0.001294618061446369,8.233973083210785E-4,1.111586366233456,2880.0,132.38051337043186,56.95250575220308,0.0,
ID2030 ? ID2035,2,2030,2035,-1.0,0.002234503368827587,0.0010116786839495047,1.3657662233318313,2880.0,132.59851339244983,56.24400568064458,0.0,
ID2040 ? ID2042,3,2040,2042,-1.0,2.3551167267837762E-4,9.744371551444064E-4,2.7917624494887243,2122.5,114.61351157596468,85.07450859252538,0.0,
ID2040 ? ID2045,3,2040,2045,-1.0,7.368990670385643E-4,4.4368155024858007E-4,1.2711476414621818,2122.5,114.28651154293766,83.65750844940835,0.0,
ID2038 ? ID2040,3,2038,2040,-1.0,NaN,4.0370374447778405E-4,0.2180000220180034,420.0,113.74151148789267,83.87550847142636,0.0,
ID2049 ? ID2051,4,2049,2051,-1.0,NaN,0.0026200341914606154,1.179015386157277,390.0,125.67701269337829,77.3355078108863,0.0,
