Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,6,5,95,2,0,0,2355,165,2520,7.341,0,33.689,187.202,0,0.007,0.013,0.001,0.006,0.004,-1,-1,-1,-1,0
Track_1,1,4,3,113,1,0,0,2130,570,2700,10.114,1,23.065,182.388,0,0.006,0.008,0.002,0.006,0.003,-1,-1,-1,-1,0
Track_2,2,2,1,36,0,0,0,555,150,705,0.729,2,66.242,224.689,0,0.001,0.001,0.001,0.001,NaN,-1,-1,-1,-1,0
Track_3,3,4,3,156,1,0,0,2880,195,3075,5.261,3,77.072,221.626,0,0.003,0.005,0.001,0.002,0.002,-1,-1,-1,-1,0
Track_4,4,4,3,163,1,0,0,2670,405,3075,4.248,4,87.356,218.636,0,0.004,0.008,0.001,0.003,0.004,-1,-1,-1,-1,0
Track_5,5,4,3,134,1,0,0,2775,0,2775,2.682,5,66.351,208.097,0,0.002,0.003,6.150E-4,0.001,0.001,-1,-1,-1,-1,0
Track_6,6,4,3,40,1,0,0,1005,1650,2655,3.368,6,74.410,211.817,0,0.003,0.005,0.002,0.004,0.002,-1,-1,-1,-1,0
Track_7,7,4,3,59,1,0,0,1545,345,1890,1.459,7,80.136,231.108,0,0.002,0.003,0.001,0.002,6.997E-4,-1,-1,-1,-1,0
Track_8,8,4,3,50,1,0,0,1335,1260,2595,6.333,8,84.329,238.984,0,0.004,0.008,0.001,0.003,0.003,-1,-1,-1,-1,0
Track_9,9,4,3,72,1,0,0,2145,930,3075,3.368,9,97.238,225.492,0,0.002,0.003,0.002,0.002,7.509E-4,-1,-1,-1,-1,0
Track_10,10,4,3,111,1,0,0,2355,690,3045,0.934,10,99.353,221.006,0,0.002,0.003,0.001,0.002,5.969E-4,-1,-1,-1,-1,0
Track_11,11,4,3,68,1,0,0,1140,1020,2160,5.269,11,69.123,205.435,0,0.011,0.027,0.003,0.003,0.014,-1,-1,-1,-1,0
Track_12,12,4,3,85,1,0,0,1395,330,1725,2.352,12,82.251,207.659,0,0.003,0.006,0.002,0.002,0.003,-1,-1,-1,-1,0
Track_13,13,2,1,66,0,0,0,1005,495,1500,0.729,13,93.081,228.044,0,7.257E-4,7.257E-4,7.257E-4,7.257E-4,NaN,-1,-1,-1,-1,0
Track_14,14,4,3,110,1,0,0,3075,0,3075,9.955,14,54.281,188.442,0,0.004,0.007,0.002,0.004,0.002,-1,-1,-1,-1,0
Track_15,15,4,3,145,1,0,0,2595,480,3075,2.088,15,89.909,235.775,0,0.003,0.005,5.730E-4,0.004,0.003,-1,-1,-1,-1,0
Track_16,16,2,1,78,0,0,0,1185,495,1680,5.310,16,216.375,229.868,0,0.004,0.004,0.004,0.004,NaN,-1,-1,-1,-1,0
Track_17,17,4,3,75,1,0,0,1920,1080,3000,8.548,17,197.522,198.251,0,0.006,0.008,0.004,0.007,0.002,-1,-1,-1,-1,0
Track_18,18,4,3,138,1,0,0,2295,780,3075,1.578,18,185.488,212.364,0,0.003,0.005,2.522E-4,0.003,0.003,-1,-1,-1,-1,0
Track_19,19,4,3,162,1,0,0,2775,300,3075,7.330,19,211.926,153.215,0,0.004,0.006,0.002,0.005,0.002,-1,-1,-1,-1,0
Track_20,20,2,1,73,0,0,0,1110,1500,2610,7.462,20,222.939,221.262,0,0.007,0.007,0.007,0.007,NaN,-1,-1,-1,-1,0
Track_21,21,4,3,134,1,0,0,2490,585,3075,6.614,21,191.614,209.337,0,0.006,0.010,0.003,0.005,0.003,-1,-1,-1,-1,0
Track_22,22,4,3,78,1,0,0,2250,585,2835,8.289,22,206.565,185.889,0,0.004,0.004,0.003,0.004,3.870E-4,-1,-1,-1,-1,0
Track_23,23,4,2,104,1,0,0,1590,1485,3075,5.813,23,210.504,165.650,0,0.002,0.004,0.000,0.002,0.002,-1,-1,-1,-1,0
Track_24,24,2,1,63,0,0,0,960,2115,3075,4.613,24,219.876,169.552,0,0.005,0.005,0.005,0.005,NaN,-1,-1,-1,-1,0
Track_25,25,2,1,157,0,0,0,2370,705,3075,3.784,25,201.132,183.263,0,0.002,0.002,0.002,0.002,NaN,-1,-1,-1,-1,0
Track_26,26,2,1,53,0,0,0,810,405,1215,7.242,26,201.715,224.689,0,0.009,0.009,0.009,0.009,NaN,-1,-1,-1,-1,0
Track_27,27,4,3,127,1,0,0,2175,900,3075,7.153,27,217.433,210.540,0,0.011,0.021,0.003,0.009,0.009,-1,-1,-1,-1,0
Track_28,28,2,1,116,0,0,0,1755,645,2400,4.045,28,220.751,239.787,0,0.002,0.002,0.002,0.002,NaN,-1,-1,-1,-1,0
Track_29,29,4,3,86,1,0,0,1515,315,1830,7.445,29,224.580,190.702,0,0.004,0.006,9.823E-4,0.005,0.003,-1,-1,-1,-1,0
Track_30,30,2,1,149,0,0,0,2250,825,3075,7.633,30,180.856,220.386,0,0.003,0.003,0.003,0.003,NaN,-1,-1,-1,-1,0
Track_31,31,4,3,110,1,0,0,2250,510,2760,5.229,31,189.025,235.994,0,0.005,0.007,0.003,0.003,0.002,-1,-1,-1,-1,0
Track_32,32,4,3,150,1,0,0,2415,660,3075,2.428,32,169.844,231.253,0,0.003,0.005,0.001,0.002,0.002,-1,-1,-1,-1,0
Track_33,33,2,1,77,0,0,0,1170,885,2055,7.363,33,14.970,182.680,0,0.006,0.006,0.006,0.006,NaN,-1,-1,-1,-1,0
