LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2609,2609,0,-1.0,90.85150917600242,69.05150697420221,0.0,3555.0,237,5.0,1,,139.89422366671224,140.0,89.0,186.0,946944.0,12.15632918544803,62.1856995124812,60.0,0.0,182.0,420935.0,22.36835527982491,0.011387415944173463,0.25914030453384795,-0.034768831850963126,-0.20028352667135407
ID2606,2606,0,-1.0,114.25017820593465,74.71950754667026,0.0,120.0,8,5.0,1,,137.7738218348287,137.0,94.0,190.0,932591.0,13.463870757863363,80.27685034716903,77.0,0.0,255.0,543394.0,27.120525969252462,-0.001347337412576603,-0.027611415575166658,0.01726513934446923,0.10047502856827303
ID2617,2617,1,-1.0,85.76484199558239,58.006172525290104,0.0,3090.0,206,5.0,1,,135.17521051853717,135.0,81.0,206.0,915001.0,17.370485791818442,60.71738809277505,60.0,0.0,149.0,410996.0,17.524747629148735,-0.02130060154701621,-0.3387330971385652,-0.03173017430012602,-0.22707397574292246
ID2614,2614,1,-1.0,91.57817591606243,57.86083917727808,0.0,1035.0,69,5.0,1,,140.56788299600794,140.0,99.0,191.0,951504.0,11.638041489735498,61.84576746934457,60.0,0.0,174.0,418634.0,17.387237944168263,0.008973641490411329,0.21484492175642247,-0.0011888445080205329,-0.008467419042702796
ID2632,2632,2,-1.0,55.39017226107407,40.42083741583791,0.0,3555.0,237,5.0,1,,143.24951986998857,143.0,96.0,193.0,969656.0,13.270516704861082,65.09558280395716,60.0,0.0,243.0,440632.0,26.9958712091549,0.005002367138090046,0.10745925260769923,0.04800940327573497,0.22092522011042315
ID2625,2625,2,-1.0,77.6261745069103,50.01283838463001,0.0,1080.0,72,5.0,1,,137.7959816811869,139.0,92.0,179.0,932741.0,11.993603315674392,77.27492982715134,66.0,0.0,255.0,523074.0,40.344463464138265,-0.016391993421395405,-0.382936341724114,0.11132573459727368,0.3837415885930085
ID2628,2628,2,-1.0,52.33817195282204,39.694170675777904,0.0,3555.0,237,5.0,1,,140.75757128083407,140.0,94.0,193.0,952788.0,13.898649389669181,66.68119367705508,60.0,0.0,243.0,451365.0,27.279402165356586,-0.004697783839771585,-0.09560205316998081,0.08515057377542767,0.38361544762601846
