ID, event
8, ruffle
12, ruffle
24, ruffle
28, ruffle
39, ruffle
43, ruffle
72, ruffle
76, ruffle
84, ruffle
88, ruffle
99, detach
103, ruffle
111, ruffle
130, ruffle
134, ruffle
150, ruffle
154, ruffle
180, ruffle
184, ruffle
192, ruffle
203, ruffle
207, ruffle
218, ruffle
222, ruffle
344, detach
359, ruffle
363, ruffle
393, ruffle
404, ruffle
408, ruffle
420, ruffle
424, ruffle
467, ruffle
472, ruffle
480, ruffle
532, ruffle
543, ruffle
551, ruffle
562, ruffle
566, ruffle
574, ruffle
683, ruffle
687, ruffle
695, ruffle
706, ruffle
721, ruffle
725, ruffle
736, ruffle
740, ruffle
1050, ruffle
1054, ruffle
1063, ruffle
1119, ruffle
1123, ruffle
1131, ruffle
