LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,4,3,1,0,0,132,2205.0,1365.0,3570.0,2.577676137299488,122.86479461232145,180.2513998804118,0.0,0.009010262765632378,0.01731746190720328,0.0019687219852399483,0.007744604404453905,0.0077522495195545315,-1.0,9.190634286001707,4.544524361941545,0.2804677084394009,0.0011690141212242575,0.12974251158170427,0.010791751144267185
Track_1,1,1,4,3,1,0,0,73,2025.0,1545.0,3570.0,6.013600293375576,121.55559449213689,187.23380052139618,0.0,0.004449790034205434,0.0068287406400082224,0.0019349457582544009,0.004585683704353678,0.0024497259853623926,-1.0,12.591988066753524,6.013600293375576,0.4775735381494851,0.0029696791572225065,0.6673751198134409,0.0018198794834200197
Track_2,2,2,2,1,0,0,0,160,2415.0,1155.0,3570.0,2.7600361951662857,167.413965368602,181.9970000406579,0.0,0.001142872130503638,0.001142872130503638,0.001142872130503638,0.001142872130503638,NaN,-1.0,2.7600361951662857,2.7600361951662857,1.0,0.001142872130503638,1.0,NaN
Track_3,3,3,4,3,1,0,0,114,2040.0,1530.0,3570.0,1.9516403099224044,195.8527013126113,193.70706778230883,0.0,0.002763085539466139,0.004398037009931778,6.586267191219551E-4,0.0032325928893446837,0.0019134066986519313,-1.0,9.741011692761264,7.576845366289346,0.20035293781370847,9.566864264325512E-4,0.3462384398773968,7.314858749747422E-4
Track_4,4,4,2,1,0,0,0,34,525.0,1410.0,1935.0,0.8848392706356368,142.83009644513615,172.90533253937616,0.0,0.0016854081345440701,0.0016854081345440701,0.0016854081345440701,0.0016854081345440701,NaN,-1.0,0.8848392706356368,0.8848392706356368,1.0,0.0016854081345440701,1.0,NaN
Track_5,5,5,4,3,1,0,0,81,2175.0,1395.0,3570.0,6.578247104450123,122.06472787220866,145.3030300054848,0.0,0.0023290491474750514,0.005478646439283769,5.55013305487245E-4,9.534876976541399E-4,0.0027348981307774157,-1.0,8.436012562119075,6.578247104450123,0.779781568129589,0.00302448142733339,1.2985906418558253,0.002029183734049085
Track_6,6,6,4,3,1,0,0,78,2220.0,1350.0,3570.0,3.840430552990588,116.64609404144475,157.7404311472382,0.0,0.0023431919331558058,0.003953070456218913,0.0011589845154250569,0.0019175208278234476,0.0014448619237046928,-1.0,8.156199645055132,3.840430552990588,0.47086029279812075,0.0017299236725182828,0.7382765568795832,0.0012987062299005935
