LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2010,2010,0,-1.0,165.4135,161.90650000000002,0.0,1635.0,109,5.0,1,,119.31625988311994,119.0,65.0,163.0,347091.0,16.618453152486964,-0.027851493768887268,-0.41139111663359945
ID2018,2018,0,-1.0,155.39350000000002,154.7255,0.0,3585.0,239,5.0,1,,122.76383636988679,123.0,54.0,192.0,357120.0,20.14390077690184,-0.004938552756241329,-0.06049321565773094
ID2013,2013,0,-1.0,157.3975,155.39350000000002,0.0,3390.0,226,5.0,1,,127.77174286696538,129.0,85.0,213.0,371688.0,19.18442346275312,0.018544814365311284,0.24252605958205042
ID2015,2015,0,-1.0,156.7295,152.72150000000002,0.0,3585.0,239,5.0,1,,128.82502578205666,128.0,54.0,192.0,374752.0,17.293186854846965,0.027893157333363602,0.40430107970316786
ID2024,2024,1,-1.0,180.1095,162.0735,0.0,1785.0,119,5.0,1,,129.9965623925753,128.0,61.0,200.0,378160.0,22.34214045023856,0.023045608813676326,0.26213817780780396
ID2026,2026,1,-1.0,184.1175,163.9105,0.0,2445.0,163,5.0,1,,130.57545548298413,127.0,84.0,210.0,379844.0,19.365544349462365,0.0362846893486821,0.4721784514024079
ID2029,2029,1,-1.0,175.9345,149.0475,0.0,3585.0,239,5.0,1,,124.69817806806395,123.0,62.0,169.0,362747.0,13.944020035617397,0.0054862354574383605,0.09758889907273931
ID2022,2022,1,-1.0,179.10750000000002,164.24450000000002,0.0,1440.0,96,5.0,1,,124.46854589205876,121.0,71.0,206.0,362079.0,25.10937814212088,-0.0150733558344915,-0.15172589917691645
ID2041,2041,2,-1.0,239.39450000000002,211.5055,0.0,3585.0,239,5.0,1,,132.23719491234144,132.0,66.0,194.0,384678.0,21.950616196669856,0.02777089633048088,0.3255595873376921
ID2034,2034,2,-1.0,225.0325,214.3445,0.0,1425.0,95,5.0,1,,126.3953248539021,129.0,53.0,187.0,367684.0,23.746246908396408,-0.009226527962001003,-0.09913567302564336
ID2036,2036,2,-1.0,232.5475,210.3365,0.0,2310.0,154,5.0,1,,120.31075971124021,121.0,95.0,146.0,349984.0,8.007627751591624,-0.028228618351296777,-0.8728831417083865
ID2038,2038,2,-1.0,235.0525,210.00250000000003,0.0,3585.0,239,5.0,1,,127.13991062220722,127.0,66.0,194.0,369850.0,20.9252292421511,-0.009877565819327536,-0.1212279341420779
ID2045,2045,3,-1.0,189.9625,282.31350000000003,0.0,1440.0,96,5.0,1,,122.76486765211355,122.0,87.0,178.0,357123.0,14.529947841468886,-0.026919113329567347,-0.467467958996557
ID2047,2047,3,-1.0,197.81150000000002,284.4845,0.0,2505.0,167,5.0,1,,134.04640770024054,133.0,103.0,193.0,389941.0,9.93082565195162,0.046045199858976364,1.188320883866161
ID2058,2058,4,-1.0,203.65650000000002,319.38750000000005,0.0,3585.0,239,5.0,1,,124.64558267445905,126.0,71.0,170.0,362594.0,17.241743391487855,0.0016504395760662694,0.0238236968244252
ID2051,2051,4,-1.0,197.64450000000002,299.3475,0.0,1440.0,96,5.0,1,,130.50085940185755,130.0,102.0,163.0,379627.0,9.422551306645847,0.03203898590522293,0.8599189399271834
ID2053,2053,4,-1.0,193.8035,313.7095,0.0,2625.0,175,5.0,1,,124.05122035063648,127.0,68.0,168.0,360865.0,16.548139189925873,-0.006698555957293338,-0.10110717923747266
ID2055,2055,4,-1.0,196.97650000000002,312.37350000000004,0.0,3585.0,239,5.0,1,,124.83465108284686,125.0,64.0,174.0,363144.0,17.33280781278621,-0.0017866005024252938,-0.02578103107298732
ID2064,2064,5,-1.0,183.2825,279.6415,0.0,2490.0,166,5.0,1,,130.51873496046824,130.0,76.0,186.0,379679.0,13.195366055237768,0.02858488318237926,0.5497657666393952
ID2066,2066,5,-1.0,182.61450000000002,275.2995,0.0,3585.0,239,5.0,1,,119.51289102784285,120.0,67.0,179.0,347663.0,18.325431688136643,-0.05006884643064808,-0.6874893715650569
ID2069,2069,5,-1.0,187.6245,275.8005,0.0,3585.0,239,5.0,1,,127.12237882433854,126.0,67.0,176.0,369799.0,17.619433604874434,0.00941113716225053,0.1345346255557061
ID2062,2062,5,-1.0,181.6125,275.2995,0.0,2295.0,153,5.0,1,,123.58370574080355,123.0,87.0,182.0,359505.0,13.164900445191932,-0.01837910780579047,-0.3515234178489322
ID2080,2080,6,-1.0,242.56750000000002,262.10650000000004,0.0,3585.0,239,5.0,1,,120.35922997593545,121.0,61.0,170.0,350125.0,15.539093052263834,-0.020791239209163287,-0.32891888822767973
ID2073,2073,6,-1.0,232.3805,247.57750000000001,0.0,1440.0,96,5.0,1,,126.18700584393292,127.0,70.0,166.0,367078.0,12.522171105508553,0.006914749547915654,0.13840403431672427
ID2075,2075,6,-1.0,232.88150000000002,248.41250000000002,0.0,1845.0,123,5.0,1,,125.57476796149776,125.0,91.0,186.0,365297.0,11.380697901310763,0.003816800125104801,0.0839089801686108
ID2077,2077,6,-1.0,242.23350000000002,251.41850000000002,0.0,3585.0,239,5.0,1,,124.7820556892394,125.0,89.0,161.0,362991.0,10.572501758539092,-0.007626020724910128,-0.1813956961256991
