LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2017,2017,0,-1.0,134.5185213884449,107.29751706030521,0.0,1980.0,132,5.0,1,,133.30525953936137,133.0,86.0,186.0,387785.0,13.981134487987738,-0.027660419188966258,-0.5424699178008963
ID2019,2019,0,-1.0,134.85252144155092,108.13251719307023,0.0,2295.0,153,5.0,1,,136.1849432794773,137.0,69.0,178.0,396162.0,14.762476369768189,-0.01646461717098633,-0.3088598976965179
ID2004,2004,0,-1.0,135.08160797266459,112.31081224285161,0.0,1035.0,69,5.0,1,,138.943623238225,138.0,92.0,199.0,404187.0,13.902350971004799,-0.0015437504276077229,-0.030904976551687228
ID2021,2021,0,-1.0,134.1845213353389,110.9715176444713,0.0,2610.0,174,5.0,1,,140.66930216569108,141.0,61.0,201.0,409207.0,15.995033065484867,0.01505928405137408,0.2609498814169478
ID2006,2006,0,-1.0,134.78967469407723,110.55921257132754,0.0,1140.0,76,5.0,1,,144.87246476452364,144.0,107.0,208.0,421434.0,14.094123620936523,0.009396792532380103,0.19137953111441394
ID2023,2023,0,-1.0,134.0175213087859,109.63551743204727,0.0,2790.0,186,5.0,1,,139.75627363355002,140.0,51.0,221.0,406551.0,18.187773811910407,0.006904196847998267,0.10537722984829584
ID2008,2008,0,-1.0,134.78967469407723,110.26727929274018,0.0,1275.0,85,5.0,1,,141.81608800274873,141.0,97.0,221.0,412543.0,14.908900426464328,0.0069529109157551545,0.13136128434395578
ID2010,2010,0,-1.0,134.85252144155092,107.79851713996422,0.0,1890.0,126,5.0,1,,137.1117222413195,137.0,90.0,185.0,398858.0,13.90516971975539,-0.014301344309994964,-0.2861284129148402
ID2012,2012,0,-1.0,135.35352152120993,110.30351753825929,0.0,1935.0,129,5.0,1,,140.3348229632169,141.0,93.0,182.0,408234.0,13.925769538272938,-7.199210407712946E-4,-0.014520242855276646
ID2014,2014,0,-1.0,134.35152136189188,111.63951775068332,0.0,1980.0,132,5.0,1,,143.19972499140616,141.0,86.0,216.0,416568.0,19.122451280575657,0.022885505923778804,0.3350904952676182
ID2029,2029,1,-1.0,151.21852404374533,136.85652176018695,0.0,1500.0,100,5.0,1,,142.21863183224443,141.0,87.0,201.0,413714.0,18.36324365096468,0.015544475976779892,0.23709054403533472
ID2027,2027,1,-1.0,149.54852377821527,137.35752183984596,0.0,855.0,57,5.0,1,,144.72086627707208,144.0,102.0,226.0,420993.0,13.320322759753223,-0.008941372447207104,-0.196042954901181
ID2032,2032,2,-1.0,190.46353028370132,101.78651618405607,0.0,1275.0,85,5.0,1,,141.33963561361122,140.0,89.0,226.0,411157.0,16.235992163871764,-0.0015173267583379114,-0.02645779906049505
ID2049,2049,2,-1.0,192.46753060233738,96.44251533435994,0.0,3360.0,224,5.0,1,,134.89790305947076,136.0,60.0,183.0,392418.0,14.369110864824624,-0.0036885186557915387,-0.06951237836219425
ID2034,2034,2,-1.0,191.46553044301933,101.28551610439706,0.0,1695.0,113,5.0,1,,136.93606050188924,138.0,63.0,195.0,398347.0,17.83378965302554,-0.01797432119426551,-0.28108252046016785
ID2051,2051,2,-1.0,189.4615301243833,97.44451549367797,0.0,3570.0,238,5.0,1,,131.7854932966661,133.0,59.0,202.0,383364.0,20.55130919012632,-0.009387575918660587,-0.12153680093466261
ID2036,2036,2,-1.0,190.46353028370132,103.45651644958612,0.0,1905.0,127,5.0,1,,137.41251289102644,139.0,57.0,183.0,399733.0,18.122016754259654,-0.0021343669271830595,-0.032437454569505864
ID2038,2038,2,-1.0,189.9625302040423,104.29151658235114,0.0,2280.0,152,5.0,1,,132.08628394637418,134.0,39.0,177.0,384239.0,17.781237336409053,-0.019234814932691406,-0.29137260054702874
ID2040,2040,2,-1.0,189.12753007127728,104.62551663545715,0.0,2985.0,199,5.0,1,,133.77552423513265,135.0,37.0,193.0,389153.0,17.348919644619777,-0.00982505996764829,-0.15302327791800874
ID2042,2042,2,-1.0,187.79152985885324,101.45251613095006,0.0,3570.0,238,5.0,1,,129.69336541766936,130.0,50.0,202.0,377278.0,23.437473388907865,-0.018681415369348676,-0.21068650393338617
ID2045,2045,2,-1.0,193.6365307882084,100.95151605129105,0.0,1980.0,132,5.0,1,,134.60536266758336,136.0,57.0,188.0,391567.0,16.225933997554037,-0.012811535974334955,-0.2153197078147798
ID2047,2047,2,-1.0,192.13353054923135,99.44851581231401,0.0,2715.0,181,5.0,1,,130.41491921622605,131.0,37.0,184.0,379377.0,18.721940880296394,-0.004079471594869779,-0.05706707747761817
ID2061,2061,3,-1.0,101.61951615750307,103.2895164230331,0.0,1845.0,123,5.0,1,,137.73289790305844,138.0,68.0,223.0,400665.0,20.142660573765202,0.004184199833546265,0.05698359969473093
ID2059,2059,3,-1.0,102.28751626371509,104.79251666201014,0.0,1365.0,91,5.0,1,,138.7071158473712,144.0,2.0,217.0,403499.0,29.950420187867852,-0.012900542475105236,-0.12105225311094982
ID2105,2105,4,-1.0,151.55252409685133,151.71952412340434,0.0,1665.0,111,5.0,1,,141.44620144379522,142.0,35.0,212.0,411467.0,20.151291855724573,0.00399805042638722,0.05590282942399554
