LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2002 ? ID2005,0,2002,2005,-1.0,NaN,0.004683590563710261,7.9386860054888935,1792.5,96.2537753487572,116.89391054383071,0.0,
ID2009 ? ID2011,1,2009,2011,-1.0,NaN,0.008127949414784147,9.631620056519214,1837.5,78.23924039051283,109.23590985307906,0.0,
ID2011 ? ID2016,1,2011,2016,-1.0,0.0026822055202169945,0.003419212565734739,3.9491905134236234,3007.5,81.08364064707773,109.23590985307906,0.0,
ID2011 ? ID2013,1,2011,2013,-1.0,0.002435598046093508,0.002158070058410285,2.4925709174638793,3007.5,81.88590738610884,109.52764321272674,0.0,
ID2020 ? ID2022,2,2020,2022,-1.0,NaN,0.001915588486538391,3.0457856935960415,1830.0,117.4773772631261,162.18551462913342,0.0,
ID2022 ? ID2024,2,2022,2024,-1.0,0.002167627153277818,0.0014008586869516788,1.3448243394736117,3105.0,117.69617728286187,163.49831474754797,0.0,
ID2022 ? ID2027,2,2022,2027,-1.0,0.003093126915694653,0.002378306960591777,2.283174682168106,3105.0,117.55031060303801,162.62311466860496,0.0,
ID2031 ? ID2033,3,2031,2033,-1.0,NaN,0.0030168422881507013,4.1179897233257075,2227.5,143.87924631124136,146.50484654807047,0.0,
ID2117 ? ID2119,4,2117,2119,-1.0,NaN,0.001945838485445571,0.9340024730138741,1875.0,138.81037918736286,170.4634487091364,0.0,
ID2119 ? ID2124,4,2119,2124,-1.0,0.002589756103071404,0.0022413738991226627,2.6896486789471954,2715.0,139.3938459066582,169.80704864992913,0.0,
ID2119 ? ID2121,4,2119,2121,-1.0,0.0023137955465905775,0.0031906889088572183,3.828826690628662,2715.0,139.10211254701056,169.00478191089798,0.0,
ID2128 ? ID2130,5,2128,2130,-1.0,NaN,0.007497650640487437,26.879077546147464,1792.5,106.28210958664627,200.00145137346425,0.0,
ID2134 ? ID2136,6,2134,2136,-1.0,NaN,0.0056537472799938525,7.29333399119207,2940.0,118.53491069184895,201.02251813223114,0.0,
ID2140 ? ID2142,7,2140,2142,-1.0,NaN,0.008049909690174453,5.554437686220373,825.0,152.59478043071584,241.79225514299475,0.0,
ID2148 ? ID2150,8,2148,2150,-1.0,1.5436211613026695E-4,0.0018092456199917302,3.0666713258859826,2737.5,73.97264000566545,184.90425001169666,0.0,
ID2146 ? ID2148,8,2146,2148,-1.0,NaN,0.016349018505485504,3.433293886151956,1785.0,70.76357304954095,185.19598337134434,0.0,
ID2148 ? ID2153,8,2148,2153,-1.0,4.257441236557542E-5,0.004259606071788999,7.220032291682354,2737.5,76.01477352319924,184.3207832924013,0.0,
ID2157 ? ID2159,9,2157,2159,-1.0,NaN,0.007430436735670359,22.402766758046134,2077.5,102.92717595069792,223.19425346545495,0.0,
ID2163 ? ID2165,10,2163,2165,-1.0,NaN,0.0083481516177495,10.393448764098128,2962.5,91.62250826435024,223.48598682510269,0.0,
ID2171 ? ID2176,11,2171,2176,-1.0,5.605806711035834E-4,0.00506340933187726,6.379895758165348,2955.0,152.88651379036355,139.02917920709865,0.0,
ID2171 ? ID2173,11,2171,2173,-1.0,7.631607673912548E-4,0.0064994806790761705,8.189345655635975,2955.0,151.93838037150857,138.15397912815558,0.0,
ID2169 ? ID2171,11,2169,2171,-1.0,NaN,0.007727648361452303,3.9411006643406745,2070.0,157.26251418507877,136.91411234965292,0.0,
ID2288 ? ID2290,12,2288,2290,-1.0,NaN,0.004961047754464829,5.283515858505043,2242.5,195.04198425945364,242.74038856184973,0.0,
ID2294 ? ID2296,13,2294,2296,-1.0,NaN,0.00630290801273233,4.443550148976293,2977.5,152.01131371142048,219.6934531496828,0.0,
ID2463 ? ID2465,14,2463,2465,-1.0,NaN,0.015197484400318298,7.2947925121527835,870.0,11.468767701149513,96.29024201871316,0.0,
ID2465 ? ID2467,14,2465,2467,-1.0,8.564481247777586E-5,0.007690869943022993,19.034903108981908,2347.5,24.37796886555946,94.02930848144362,0.0,
ID2465 ? ID2470,14,2465,2470,-1.0,1.4616844610546674E-4,0.00870060330279644,21.533993174421187,2347.5,25.10730226467866,92.2059749836456,0.0,
ID2474 ? ID2476,15,2474,2476,-1.0,NaN,0.006352331914004458,8.480363105195952,2497.5,49.6858378149959,91.84130828408601,0.0,
ID2476 ? ID2478,15,2476,2478,-1.0,0.005081220448302059,0.003490338070227303,1.4659419894954673,3375.0,53.40543815050385,90.67437484549527,0.0,
ID2476 ? ID2481,15,2476,2481,-1.0,5.206403473189248E-4,0.0014319612575520414,0.6014237281718574,3375.0,53.770104850063454,89.87210810646414,0.0,
ID2485 ? ID2487,16,2485,2487,-1.0,NaN,0.004398231457342471,12.666906597146317,2145.0,106.0633095669105,56.97917180618796,0.0,
ID2491 ? ID2493,17,2491,2493,-1.0,NaN,0.006767386202224643,5.58309361683533,652.5,79.73437385870719,61.71983890046279,0.0,
