Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1,1,0,-1,62.996,102.818,0,945,63,5,1,-10921639,82.382,82,54,112,557643,8.328,16.653,-0.008,-0.158
ID5,5,0,-1,62.850,101.213,0,1425,95,5,1,-10921639,84.226,84,47,119,570127,8.455,15.136,-0.009,-0.184
ID8,8,0,-1,62.559,100.484,0,1800,120,5,1,-10921639,84.678,84,54,118,573186,9.166,15.550,-0.006,-0.119
ID12,12,0,-1,63.434,101.067,0,1860,124,5,1,-10921639,86.143,85,57,135,583102,10.183,3.119,-0.008,-0.135
ID18,18,1,-1,87.648,107.923,0,1500,100,5,1,-10921639,98.896,99,61,143,669430,9.465,19.000,0.008,0.159
ID21,21,1,-1,87.794,107.340,0,1770,118,5,1,-10921639,98.674,98,63,152,667924,9.717,12.975,0.007,0.138
ID24,24,1,-1,86.772,106.756,0,1920,128,5,1,-10921639,97.622,97,67,142,660801,10.347,13.536,0.005,0.102
ID28,28,1,-1,87.502,105.881,0,2085,139,5,1,-10921639,98.387,98,67,136,665984,9.599,13.824,0.007,0.135
ID33,33,2,-1,82.980,83.126,0,1260,84,5,1,-10921639,104.587,104,71,145,707948,10.782,17.237,0.005,0.106
ID36,36,2,-1,80.792,82.542,0,2895,193,5,1,-10921639,98.402,98,66,134,666084,9.543,17.890,-0.005,-0.104
ID39,39,2,-1,79.625,84.876,0,3180,212,5,1,-10921639,97.426,97,63,134,659477,9.093,19.000,-0.012,-0.251
ID43,43,2,-1,81.959,85.897,0,3270,218,5,1,-10921639,98.531,98,60,151,666956,12.240,16.445,-0.016,-0.262
ID48,48,3,-1,68.539,89.252,0,1125,75,5,1,-10921639,89.496,88,51,131,605796,11.988,12.074,0.014,0.207
ID51,51,3,-1,68.977,89.690,0,1665,111,5,1,-10921639,90.745,90,56,140,614256,11.177,16.745,0.015,0.240
ID58,58,3,-1,65.768,91.003,0,3585,239,5,1,-10921639,88.877,88,42,135,601609,12.707,14.693,0.008,0.108
ID54,54,3,-1,66.351,89.106,0,3585,239,5,1,-10921639,86.566,86,42,135,585962,11.435,19.000,-0.011,-0.171
ID63,63,4,-1,72.478,96.108,0,1005,67,5,1,-10921639,92.864,93,60,129,628598,9.939,8.887,0.019,0.346
ID66,66,4,-1,73.061,95.962,0,1170,78,5,1,-10921639,94.016,94,44,133,636396,11.231,17.715,0.019,0.306
ID81,81,4,-1,67.664,96.400,0,2460,164,5,1,-10921639,89.892,90,54,128,608478,9.889,17.950,0.002,0.030
ID69,69,4,-1,73.499,92.753,0,2460,164,5,1,-10921639,97.030,97,56,138,656796,11.119,8.304,0.030,0.506
ID72,72,4,-1,75.541,93.774,0,2850,190,5,1,-10921639,94.891,95,47,135,642319,11.403,19.000,0.006,0.101
