LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2784,2784,0,-1.0,214.50197287164855,6.72197265304784,0.0,300.0,20,5.0,1,,127.86733638646662,128.0,99.0,160.0,865534.0,8.012926060662398,0.054752006977388,1.6567163626114905
ID2786,2786,0,-1.0,211.988064399777,5.738269337967668,0.0,1440.0,96,5.0,1,,128.8343920815477,128.0,101.0,164.0,872080.0,9.14723402433827,0.0940380921586823,2.421270908382871
ID2789,2789,0,-1.0,214.3926725033063,7.814976336470253,0.0,3585.0,239,5.0,1,,130.4161619146092,130.0,102.0,163.0,882787.0,8.03204162430887,0.03926840924789043,1.22701830722858
ID2782,2782,0,-1.0,213.95547102993734,6.72197265304784,0.0,0.0,0,5.0,1,,127.99202245530955,128.0,102.0,163.0,866378.0,7.897200490862352,0.05595547348854705,1.7176580249930464
ID2801,2801,1,-1.0,186.95828004940375,46.94450820299264,0.0,3585.0,239,5.0,1,,126.03176244644656,126.0,89.0,159.0,853109.0,9.670534282795126,-0.010203567177361955,-0.26869877106052237
ID2804,2804,1,-1.0,179.74445573881582,46.50730672962367,0.0,3585.0,239,5.0,1,,127.25764514699492,128.0,81.0,163.0,861407.0,10.811698711503025,0.0019321344366560493,0.0453961454434139
ID2797,2797,1,-1.0,183.02346678908305,45.5236034145435,0.0,30.0,2,5.0,1,,125.49446003841153,125.0,92.0,169.0,849472.0,9.036945136560925,-0.013739739658979505,-0.38691883700977114
ID2799,2799,1,-1.0,182.69556568405633,42.90039457432971,0.0,1095.0,73,5.0,1,,125.2323829221467,125.0,93.0,175.0,847698.0,8.820674236191303,-0.00986898650577556,-0.28302496684272915
ID2809,2809,2,-1.0,179.74445573881582,36.670273578821956,0.0,3135.0,209,5.0,1,,123.68651204018414,124.0,84.0,165.0,837234.0,9.582468189050182,-0.011297064588534992,-0.29496788910885785
ID2811,2811,2,-1.0,180.83745942223823,35.35866915871506,0.0,3585.0,239,5.0,1,,124.98094253213307,125.0,73.0,164.0,845996.0,9.92419957639246,-0.004297890115447341,-0.10871868282127031
ID2814,2814,2,-1.0,178.8700527920779,34.702866948661615,0.0,3585.0,239,5.0,1,,125.18259713399411,125.0,73.0,164.0,847361.0,10.520793816668943,-0.00419206211779248,-0.10017920230142378
ID2807,2807,2,-1.0,178.1049502136822,30.768053688340927,0.0,885.0,59,5.0,1,,124.56566701137712,124.0,87.0,186.0,843185.0,8.744814919413551,-0.01285850573283024,-0.3710981816660569
ID2825,2825,3,-1.0,200.73012646052615,62.02795903422194,0.0,3585.0,239,5.0,1,,129.84236962623729,129.0,95.0,217.0,878903.0,11.501277092666504,0.006183802715386351,0.1387645927541765
ID2818,2818,3,-1.0,203.02543419571322,53.28392956684263,0.0,570.0,38,5.0,1,,129.1212882257345,129.0,90.0,193.0,874022.0,10.138734900624824,-0.0032321418262949027,-0.0825924715526603
ID2820,2820,3,-1.0,200.2929249871572,55.5792373020297,0.0,2010.0,134,5.0,1,,129.57748559609925,129.0,92.0,207.0,877110.0,11.194838555531026,9.18362015239513E-4,0.021240119950530826
ID2822,2822,3,-1.0,200.73012646052615,58.63964761561246,0.0,3585.0,239,5.0,1,,129.2700546609539,128.0,95.0,217.0,875029.0,10.412618646639501,-7.182414493577394E-4,-0.017846393716461708
ID2832,2832,4,-1.0,196.03021062180977,76.2370069187133,0.0,3585.0,239,5.0,1,,128.93544098094335,129.0,88.0,207.0,872764.0,11.326504955014219,0.014957245391689104,0.3355136989149607
ID2835,2835,4,-1.0,194.60930583336062,71.75569181668142,0.0,3585.0,239,5.0,1,,124.46225439503685,124.0,89.0,207.0,842485.0,11.754347606202913,-0.015621845718860078,-0.3360775529325298
ID2828,2828,4,-1.0,195.70230951678306,69.35108371315211,0.0,210.0,14,5.0,1,,126.18422218939376,125.0,91.0,195.0,854141.0,10.538186744669053,-0.008520047448126816,-0.2057914069737611
ID2830,2830,4,-1.0,196.46741209517873,69.13248297646763,0.0,1245.0,83,5.0,1,,127.02437583099372,126.0,94.0,185.0,859828.0,10.907106812400942,-0.004349462909077456,-0.10175041714364343
ID2840,2840,5,-1.0,200.94872719721062,63.995365664382284,0.0,3240.0,216,5.0,1,,130.07430935145388,129.0,91.0,188.0,880473.0,10.320711394442954,0.008073694275986863,0.201879355089871
ID2842,2842,5,-1.0,201.60452940726407,62.79306161261763,0.0,3585.0,239,5.0,1,,129.39178608361678,128.0,95.0,217.0,875853.0,11.657639512317674,0.003477914570060673,0.07693734109062429
ID2845,2845,5,-1.0,203.68123640576667,63.7767649276978,0.0,3585.0,239,5.0,1,,129.72078593588375,129.0,95.0,200.0,878080.0,10.346581856816353,0.003332663749089415,0.08328930062517824
ID2838,2838,5,-1.0,203.57193603742442,58.63964761561246,0.0,1365.0,91,5.0,1,,127.7628896439653,128.0,92.0,180.0,864827.0,9.233720242733348,-0.009322496269006202,-0.2604101610067678
ID2848,2848,6,-1.0,211.66016329475028,71.53709107999693,0.0,960.0,64,5.0,1,,130.76421923474462,130.0,93.0,179.0,885143.0,8.655660751582849,0.007755000227936787,0.23251209405182718
ID2850,2850,6,-1.0,212.53456624148822,73.39519734181503,0.0,1455.0,97,5.0,1,,130.7299453390439,130.0,96.0,200.0,884911.0,9.480790739057015,0.006411597638741633,0.17569165821594263
