LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,4,3,1,0,0,120,2685.0,900.0,3585.0,5.583093113240289,61.829233333333335,90.5285,0.0,0.0017608831211003422,0.0027489849367679457,8.383141762452226E-4,0.0016953502502878581,9.570196479941332E-4,-1.0,8.795801697839627,5.583093113240289,0.6347452233503145,0.00207936428798521,1.1808644554931365,4.63716279117094E-4
Track_1,1,1,4,3,1,0,0,123,2745.0,840.0,3585.0,3.261677823179688,80.06256666666665,106.57383333333334,0.0,0.0020680831965719745,0.0026422831154528418,0.0015625659911553695,0.0019994004831077124,5.431254491108949E-4,-1.0,8.963678199305097,3.261677823179688,0.3638771663436721,0.0011882250721966076,0.5745538062328405,0.001119228648829543
Track_2,2,2,2,1,0,0,0,144,2175.0,1410.0,3585.0,2.047336229239241,27.149433333333334,113.24723333333334,0.0,9.413040134433291E-4,9.413040134433291E-4,9.413040134433291E-4,9.413040134433291E-4,NaN,-1.0,2.047336229239241,2.047336229239241,1.0,9.413040134433291E-4,1.0,NaN
Track_3,3,3,4,3,1,0,0,121,2430.0,1155.0,3585.0,2.8322183594411405,50.99863333333333,113.97656666666666,0.0,0.0020829597979334434,0.002306354506816144,0.0016586277114078736,0.0022838971755763117,3.6765387618378445E-4,-1.0,8.598633247270746,2.8322183594411405,0.32938006285360555,0.0011655219586177534,0.5595508659236231,0.0014918209615255125
Track_4,4,4,4,3,1,0,0,130,2460.0,1125.0,3585.0,1.7564672625598325,54.426500000000004,144.1345,0.0,0.001532472999368693,0.00251774817437776,7.642693383708111E-4,0.0013154014853575082,8.966671839246722E-4,-1.0,5.3328385149431385,2.58064477042292,0.3293681699976548,7.140110823413954E-4,0.46592082381584177,8.146813470060805E-4
Track_5,5,5,4,3,1,0,0,110,2715.0,870.0,3585.0,3.007118369617152,76.59823333333333,118.38903333333332,0.0,0.003455355972779818,0.00419990877583923,0.002896355736339431,0.0032698034061607907,6.71293488670546E-4,-1.0,12.665630092105175,4.822432301005152,0.23742351132547043,0.0011075942429529106,0.3205441788568765,0.0025480399647423205
Track_6,6,6,4,3,1,0,0,146,2490.0,1095.0,3585.0,3.0035784997972828,45.1275,114.77883333333332,0.0,0.0022937756511749825,0.003726053903566321,0.0015443499413747125,0.001610923108583913,0.0012408359040795673,-1.0,8.01930243767517,3.6495828339992764,0.37454361188403223,0.0012062564256213988,0.525882478961487,8.470344889371061E-4
