LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,2,1,0,0,0,228,3435.0,120.0,3555.0,24.075380430261273,102.55084369096853,71.88550726043624,0.0,0.007008844375621913,0.007008844375621913,0.007008844375621913,0.007008844375621913,NaN,-1.0,24.075380430261273,24.075380430261273,1.0,0.007008844375621913,1.0,NaN
Track_1,1,1,2,1,0,0,0,136,2055.0,1035.0,3090.0,5.815150303564672,88.67150895582242,57.933505851284096,0.0,0.002829756838717602,0.002829756838717602,0.002829756838717602,0.002829756838717602,NaN,-1.0,5.815150303564672,5.815150303564672,1.0,0.002829756838717602,1.0,NaN
Track_2,2,2,4,3,1,0,0,164,3375.0,180.0,3555.0,28.666427266378214,66.54450672099519,45.943504640293966,0.0,0.00873245058791933,0.011035244953990699,0.005377600581012593,0.009784506228754701,0.0029719271132268446,-1.0,56.3687247002062,31.718649440633357,0.5085519925958756,0.008493756227075027,0.9726658217597568,1.8254623049225116E-4
Track_3,3,3,4,3,1,0,0,190,3555.0,0.0,3555.0,27.744969753224446,74.21084082862825,66.43550670998617,0.0,0.008640956289138978,0.01348904911932675,0.0035055492439216487,0.00892827050416854,0.00499794753215477,-1.0,29.81934560385792,27.744969753224446,0.9304352322753489,0.007804492194999844,0.9031977403715714,3.508256129056252E-4
Track_4,4,4,4,3,1,0,0,125,2490.0,1065.0,3555.0,29.229712343693556,78.42550792097632,86.52784207264538,0.0,0.028315236422325318,0.042339812985880784,0.0034909406882378167,0.03911495559285735,0.0215588536411705,-1.0,52.2952530740713,29.229712343693556,0.5589362442188094,0.011738840298672112,0.41457680676176706,0.0010433923935346985
Track_5,5,5,2,1,0,0,0,116,1755.0,0.0,1755.0,7.669691192844174,75.08284091670028,138.9568473679749,0.0,0.004370194411877022,0.004370194411877022,0.004370194411877022,0.004370194411877022,NaN,-1.0,7.669691192844174,7.669691192844174,1.0,0.004370194411877022,1.0,NaN
Track_6,6,6,2,1,0,0,0,92,1395.0,315.0,1710.0,7.087143126925674,34.53483682135185,112.28817800777264,0.0,0.005080389338297974,0.005080389338297974,0.005080389338297974,0.005080389338297974,NaN,-1.0,7.087143126925674,7.087143126925674,1.0,0.005080389338297974,1.0,NaN
Track_7,7,7,2,1,0,0,0,53,810.0,1740.0,2550.0,4.217172095298683,29.3028362929198,118.53751197228871,0.0,0.005206385302837881,0.005206385302837881,0.005206385302837881,0.005206385302837881,NaN,-1.0,4.217172095298683,4.217172095298683,1.0,0.005206385302837881,1.0,NaN
