Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID1 : ID5),0,1,5,-1,1185.000,62.923,102.016,0,0.003,1.611,None
(ID5 : ID8),0,5,8,-1,1612.500,62.704,100.849,0,0.002,0.786,None
(ID5 : ID12),0,5,12,-1,1642.500,63.142,101.140,0,0.001,0.601,None
(ID18 : ID21),1,18,21,-1,1635.000,87.721,107.631,0,0.002,0.601,None
(ID21 : ID28),1,21,28,-1,1927.500,87.648,106.610,0,0.005,1.488,None
(ID21 : ID24),1,21,24,-1,1845.000,87.283,107.048,0,0.008,1.176,None
(ID33 : ID36),2,33,36,-1,2077.500,81.886,82.834,0,0.001,2.264,None
(ID36 : ID39),2,36,39,-1,3037.500,80.208,83.709,0,0.009,2.609,None
(ID36 : ID43),2,36,43,-1,3082.500,81.375,84.220,0,0.009,3.552,None
(ID48 : ID51),3,48,51,-1,1395.000,68.758,89.471,0,0.001,0.619,None
(ID51 : ID54),3,51,54,-1,2625.000,67.664,89.398,0,0.001,2.690,None
(ID51 : ID58),3,51,58,-1,2625.000,67.372,90.346,0,0.002,3.467,None
(ID63 : ID66),4,63,66,-1,1087.500,72.769,96.035,0,0.004,0.601,None
(ID66 : ID69),4,66,69,-1,1815.000,73.280,94.358,0,0.003,3.239,None
(ID66 : ID81),4,66,81,-1,1815.000,70.362,96.181,0,0.004,5.415,None
(ID81 : ID84),4,81,84,-1,2947.500,66.789,97.931,0,0.004,3.528,None
(ID69 : ID76),4,69,76,-1,2872.500,75.249,93.336,0,0.004,3.690,None
(ID69 : ID72),4,69,72,-1,2655.000,74.520,93.264,0,0.006,2.283,None
(ID81 : ID88),4,81,88,-1,2977.500,67.008,98.150,0,0.004,3.739,None
(ID93 : ID96),5,93,96,-1,945.000,53.588,101.578,0,0.007,0.619,None
(ID96 : ID99),5,96,99,-1,2182.500,53.004,101.651,0,3.294E-4,0.786,None
(ID96 : ID103),5,96,103,-1,2287.500,54.463,102.453,0,9.833E-4,2.552,None
(ID108 : ID111),6,108,111,-1,2100.000,93.701,108.215,0,0.004,3.063,None
(ID116 : ID119),7,116,119,-1,2887.500,93.774,101.067,0,0.004,5.612,None
(ID124 : ID127),8,124,127,-1,1387.500,55.338,135.711,0,0.007,3.507,None
(ID127 : ID130),8,127,130,-1,1695.000,56.651,136.148,0,0.017,2.032,None
(ID127 : ID134),8,127,134,-1,1837.500,58.693,135.273,0,0.008,3.358,None
(ID144 : ID147),9,144,147,-1,1185.000,95.816,60.735,0,0.002,2.207,None
(ID147 : ID150),9,147,150,-1,1770.000,95.597,60.006,0,0.004,1.031,None
(ID147 : ID154),9,147,154,-1,1822.500,96.254,59.422,0,0.002,0.729,None
(ID159 : ID162),10,159,162,-1,1260.000,105.370,58.328,0,0.003,0.601,None
(ID162 : ID165),10,162,165,-1,2475.000,104.276,58.766,0,9.292E-4,2.063,None
(ID162 : ID169),10,162,169,-1,2475.000,103.182,58.912,0,0.002,4.270,None
(ID174 : ID177),11,174,177,-1,2227.500,80.573,41.918,0,0.006,2.806,None
(ID177 : ID184),11,177,184,-1,2947.500,79.552,43.888,0,0.006,6.459,None
(ID177 : ID180),11,177,180,-1,2872.500,80.719,41.116,0,0.002,1.828,None
(ID189 : ID192),12,189,192,-1,1912.500,94.066,54.828,0,0.006,2.975,None
(ID197 : ID200),13,197,200,-1,300.000,122.729,126.375,0,0.013,1.946,None
(ID200 : ID203),13,200,203,-1,967.500,122.510,124.625,0,0.001,1.605,None
(ID200 : ID207),13,200,207,-1,982.500,123.677,124.552,0,0.002,2.917,None
(ID212 : ID215),14,212,215,-1,1372.500,114.560,136.294,0,0.003,1.031,None
(ID215 : ID218),14,215,218,-1,2017.500,116.821,135.054,0,0.004,4.207,None
(ID215 : ID222),14,215,222,-1,2047.500,116.821,136.221,0,0.003,3.501,None
(ID338 : ID341),15,338,341,-1,502.500,180.200,118.316,0,0.008,3.528,None
(ID341 : ID348),15,341,348,-1,2160.000,178.741,118.170,0,0.001,3.007,None
(ID341 : ID344),15,341,344,-1,1830.000,179.033,116.274,0,5.370E-4,1.176,None
(ID353 : ID356),16,353,356,-1,997.500,162.113,103.948,0,0.062,0.923,None
(ID356 : ID359),16,356,359,-1,1402.500,162.040,107.303,0,0.007,5.836,None
(ID356 : ID363),16,356,363,-1,1485.000,161.675,106.428,0,0.004,4.126,None
(ID390 : ID393),17,390,393,-1,907.500,230.943,129.530,0,0.003,4.550,None
(ID398 : ID401),18,398,401,-1,570.000,222.356,141.181,0,0.003,2.475,None
(ID401 : ID404),18,401,404,-1,1350.000,224.872,139.430,0,0.006,3.720,None
(ID401 : ID408),18,401,408,-1,1372.500,225.583,139.704,0,0.007,4.856,None
(ID414 : ID417),19,414,417,-1,585.000,204.906,83.582,0,0.004,0.346,None
(ID417 : ID420),19,417,420,-1,952.500,205.125,82.542,0,0.004,2.429,None
(ID417 : ID424),19,417,424,-1,990.000,205.727,83.035,0,0.003,2.090,None
(ID457 : ID460),20,457,460,-1,795.000,175.478,85.113,0,0.013,3.004,None
(ID460 : ID472),20,460,472,-1,1477.500,175.478,82.871,0,0.001,1.626,None
(ID460 : ID463),20,460,463,-1,1477.500,175.587,82.652,0,0.002,2.113,None
(ID477 : ID480),21,477,480,-1,2107.500,163.444,89.763,0,0.006,1.099,None
(ID529 : ID532),22,529,532,-1,1710.000,173.946,150.480,0,0.004,2.124,None
(ID540 : ID543),23,540,543,-1,1605.000,174.274,153.543,0,0.005,1.317,None
(ID548 : ID551),24,548,551,-1,1147.500,178.924,151.355,0,0.002,3.460,None
(ID556 : ID559),25,556,559,-1,337.500,205.946,143.642,0,0.004,2.735,None
(ID559 : ID562),25,559,562,-1,1320.000,207.805,143.423,0,0.002,2.582,None
(ID559 : ID566),25,559,566,-1,1395.000,209.829,142.165,0,0.005,7.228,None
(ID571 : ID574),26,571,574,-1,2422.500,173.727,130.624,0,0.001,1.524,None
(ID677 : ID680),27,677,680,-1,1440.000,88.778,173.891,0,0.002,1.869,None
(ID680 : ID687),27,680,687,-1,2197.500,90.911,173.727,0,0.006,2.538,None
(ID680 : ID683),27,680,683,-1,2197.500,90.911,173.673,0,0.006,2.526,None
(ID692 : ID695),28,692,695,-1,1905.000,88.723,174.055,0,0.006,5.606,None
(ID700 : ID703),29,700,703,-1,817.500,121.379,158.685,0,0.002,2.417,None
(ID703 : ID706),29,703,706,-1,2160.000,122.911,156.770,0,0.002,3.180,None
(ID703 : ID710),29,703,710,-1,2550.000,123.567,160.271,0,0.003,6.958,None
(ID715 : ID718),30,715,718,-1,937.500,108.306,157.427,0,0.002,2.104,None
(ID718 : ID725),30,718,725,-1,2340.000,108.744,156.333,0,0.001,1.889,None
(ID718 : ID721),30,718,721,-1,2115.000,109.291,157.263,0,0.003,3.327,None
(ID730 : ID733),31,730,733,-1,1320.000,60.991,159.998,0,0.002,0.489,None
(ID733 : ID736),31,733,736,-1,1747.500,61.920,159.615,0,0.003,1.524,None
(ID733 : ID740),31,733,740,-1,2092.500,65.804,160.380,0,0.007,9.242,None
(ID1044 : ID1047),32,1044,1047,-1,1477.500,176.353,136.312,0,0.004,4.846,None
(ID1047 : ID1050),32,1047,1050,-1,2692.500,178.486,134.562,0,0.001,1.203,None
(ID1047 : ID1054),32,1047,1054,-1,2505.000,177.884,133.742,0,0.004,3.088,None
(ID1060 : ID1063),33,1060,1063,-1,2025.000,178.267,144.299,0,0.004,7.687,None
(ID1068 : ID1071),34,1068,1071,-1,1980.000,168.038,134.343,0,0.005,1.247,None
(ID1071 : ID1074),34,1071,1074,-1,2842.500,168.914,136.312,0,0.002,3.435,None
(ID1071 : ID1078),34,1071,1078,-1,2842.500,167.765,136.312,0,0.002,2.744,None
(ID1083 : ID1086),35,1083,1086,-1,1327.500,160.107,136.148,0,0.009,4.616,None
(ID1086 : ID1093),35,1086,1093,-1,2587.500,164.811,135.875,0,0.002,4.815,None
