LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,4,3,1,0,0,47,930.0,945.0,1875.0,1.663135886744599,63.10556666666667,101.3591,0.0,0.005882309307033362,0.010872259410599024,0.0021151287631014956,0.004659539747399567,0.004504798368552181,-1.0,3.806067185658869,2.629648730238395,0.43696966070678894,0.0017883181577898913,0.3040163419580188,0.0072962377319179365
Track_1,1,1,4,3,1,0,0,165,2595.0,900.0,3495.0,2.269152801279709,53.91596666666667,101.32263333333333,0.0,0.003966585472476386,0.01001770944852717,5.539240506329096E-4,0.0013281229182690792,0.005254704749252308,-1.0,5.671685558585356,2.269152801279709,0.40008438017951153,8.744326787205044E-4,0.22044972553549583,0.0010591809455888276
Track_2,2,2,8,7,3,0,0,84,2490.0,1005.0,3495.0,6.980295364651681,71.4382,95.90733333333333,0.0,0.0032116922032495083,0.004396369331230477,0.001926750134702648,0.003362912500312324,8.804392837510365E-4,-1.0,17.776627761699142,6.980295364651681,0.39266701526434417,0.002803331471747663,0.8728518470454061,9.523918969628047E-4
Track_3,3,3,4,3,1,0,0,108,1980.0,1260.0,3240.0,2.3745372976177355,81.37536666666666,84.69383333333333,0.0,0.00555300741009064,0.008424268821881162,0.0016401994115449682,0.0065945539968457895,0.003509916510453033,-1.0,7.368628360573387,3.5280439906554424,0.3222495668695879,0.0011992612614230987,0.2159660833954341,0.0057871707483519936
Track_4,4,4,4,3,1,0,0,56,1260.0,720.0,1980.0,0.7855160398673598,95.6703,60.29763333333332,0.0,0.002231439645535762,0.003187453006349548,0.001706042884990254,0.0018008230452674836,8.292870306693558E-4,-1.0,3.2398594920953485,1.750399999999999,0.2424537365845254,6.234254284661586E-4,0.27938260831449735,0.005992229429937622
Track_5,5,5,4,3,1,0,0,21,555.0,1500.0,2055.0,2.3063545068161257,87.21003333333331,107.19376666666666,0.0,0.006127241408890191,0.0076048031047633415,0.003305675465404712,0.007471245656502519,0.0024444600995054736,-1.0,4.598186222458416,2.3063545068161257,0.5015791869305883,0.0041555937059750015,0.6782160892086823,0.010591593723255808
Track_6,6,6,4,3,1,0,0,63,1515.0,570.0,2085.0,6.29765713614551,88.59576666666666,118.02436666666668,0.0,0.005147043907846284,0.005672592592592609,0.004246032647931646,0.005522506483014597,7.838988633374769E-4,-1.0,9.700287676629415,6.29765713614551,0.6492237494479931,0.004156869396795717,0.8076226803619996,0.0031866495711803345
