LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,2,1,0,0,0,225,3390.0,195.0,3585.0,24.309118359163996,72.4659065943975,167.06506520292095,0.0,0.0071708313743846595,0.0071708313743846595,0.0071708313743846595,0.0071708313743846595,NaN,-1.0,24.309118359163996,24.309118359163996,1.0,0.0071708313743846595,1.0,NaN
Track_1,1,1,4,3,1,0,0,211,3435.0,150.0,3585.0,20.921746420051576,38.883478538396545,167.88481527751821,0.0,0.008384754476105634,0.011541148372201396,0.0059258958339031805,0.007687219222212324,0.00287187775506447,-1.0,46.23269871335866,26.38548422802323,0.45253136853995424,0.0060907558719218565,0.7264083747805525,9.879222181099977E-4
Track_2,2,2,2,1,0,0,0,127,1920.0,0.0,1920.0,8.227321840025802,60.2243054804118,159.46871451165305,0.0,0.0042850634583467715,0.0042850634583467715,0.0042850634583467715,0.0042850634583467715,NaN,-1.0,8.227321840025802,8.227321840025802,1.0,0.0042850634583467715,1.0,NaN
Track_3,3,3,2,1,0,0,0,232,3495.0,90.0,3585.0,23.463889103276127,87.93185800179909,204.60961861947533,0.0,0.006713559113955973,0.006713559113955973,0.006713559113955973,0.006713559113955973,NaN,-1.0,23.463889103276127,23.463889103276127,1.0,0.006713559113955973,1.0,NaN
Track_4,4,4,2,1,0,0,0,173,2610.0,690.0,3300.0,17.168801586241486,88.09580801671854,206.57701879850873,0.0,0.006578084898943098,0.006578084898943098,0.006578084898943098,0.006578084898943098,NaN,-1.0,17.168801586241486,17.168801586241486,1.0,0.006578084898943098,1.0,NaN
Track_5,5,5,2,1,0,0,0,75,1140.0,2025.0,3165.0,10.837800102296537,103.88965945395901,154.93276409888153,0.0,0.009506842194996963,0.009506842194996963,0.009506842194996963,0.009506842194996963,NaN,-1.0,10.837800102296537,10.837800102296537,1.0,0.009506842194996963,1.0,NaN
Track_6,6,6,2,1,0,0,0,100,1515.0,1680.0,3195.0,16.967924487093327,103.45245941417382,164.55116497415602,0.0,0.011199950156497246,0.011199950156497246,0.011199950156497246,0.011199950156497246,NaN,-1.0,16.967924487093327,16.967924487093327,1.0,0.011199950156497246,1.0,NaN
Track_7,7,7,4,3,1,0,0,64,1725.0,1860.0,3585.0,15.069930863567706,90.85563326786264,167.74819026508533,0.0,0.010482975470873948,0.010867013315293998,0.01026773909143774,0.010314174005890105,3.333959354583501E-4,-1.0,26.031772805407535,17.190706120305425,0.578905285330289,0.008736191804966787,0.8333694788506898,0.0041887902047863905
Track_8,8,8,4,3,1,0,0,200,3585.0,0.0,3585.0,19.212255690265973,91.15620829521497,164.71511498907546,0.0,0.006545104103070978,0.009267909088389483,0.004900066076335634,0.005467337144487818,0.002375015654105696,-1.0,24.559767334524086,19.212255690265973,0.7822653785184266,0.005359067138149504,0.8187902061993204,0.005511566058929462
Track_9,9,9,2,1,0,0,0,13,210.0,105.0,315.0,2.387148249925572,121.1044110205014,97.76885889696617,0.0,0.0113673726186932,0.0113673726186932,0.0113673726186932,0.0113673726186932,NaN,-1.0,2.387148249925572,2.387148249925572,1.0,0.0113673726186932,1.0,NaN
Track_10,10,10,4,3,1,0,0,149,3585.0,0.0,3585.0,23.364906438657677,66.80963107967644,156.73621426299553,0.0,0.0068492022032457765,0.0077117898615873546,0.0054652688000296715,0.007370547948120304,0.0012106053276273183,-1.0,41.231393919881846,24.57913971750035,0.5666775778684281,0.006517407653739937,0.9515571975158501,0.0013962634015954635
Track_11,11,11,2,1,0,0,0,101,1530.0,375.0,1905.0,8.640924492734227,30.057502735232752,123.07181119953484,0.0,0.005647663067146554,0.005647663067146554,0.005647663067146554,0.005647663067146554,NaN,-1.0,8.640924492734227,8.640924492734227,1.0,0.005647663067146554,1.0,NaN
Track_12,12,12,4,3,1,0,0,112,3195.0,0.0,3195.0,14.813679986722034,80.9639823677224,86.265032850118,0.0,0.004780011923883992,0.005842458372985495,0.0037160576355056325,0.004781519763160848,0.0010632011706507801,-1.0,20.252475865309002,14.813679986722034,0.731450321691126,0.004636519557659479,0.9699807514061768,0.002763912182943978
Track_13,13,13,4,3,1,0,0,159,3000.0,0.0,3000.0,9.509100865328183,87.30338294460786,71.8101065347197,0.0,0.003406876447410518,0.005074576590773889,0.0022783736221431545,0.0028676791293145115,0.0014740210552520198,-1.0,14.916814097312667,9.509100865328183,0.6374753216936109,0.0031697002884427277,0.9303831052787189,0.001371757066207872
Track_14,14,14,2,1,0,0,0,176,2655.0,930.0,3585.0,13.736189333300763,135.42271232346684,85.80050780784622,0.0,0.005173705963578442,0.005173705963578442,0.005173705963578442,0.005173705963578442,NaN,-1.0,13.736189333300763,13.736189333300763,1.0,0.005173705963578442,1.0,NaN
Track_15,15,15,4,3,1,0,0,104,2175.0,1410.0,3585.0,7.797925696426643,140.94236282575503,85.74585780287308,0.0,0.0040785876934063625,0.005531391673557657,0.0021935773453855114,0.0045107940612759195,0.0017103663001410147,-1.0,11.739482057875474,7.797925696426643,0.6642478482426213,0.0035852531937593758,0.879042811695692,0.005235987755982988
Track_16,16,16,4,3,1,0,0,142,3330.0,255.0,3585.0,12.519503877003704,198.95334310475425,98.58860897156342,0.0,0.004664882240925737,0.005484764428503995,0.0030826799495543783,0.0054272023447188384,0.001370529611678641,-1.0,21.79377061742108,12.519503877003704,0.5744533195644496,0.0037596107738749863,0.8059390526284536,0.0026511330410040447
Track_17,17,17,4,3,1,0,0,65,1335.0,2250.0,3585.0,2.9732817237782,212.50654433809555,89.81728317337277,0.0,0.005764923920740531,0.009671839090029423,0.003560423644762314,0.004062509027429857,0.0033927882394701324,-1.0,10.883487831530399,5.875828655059257,0.27319199229169416,0.0022271773211821723,0.3863324740799149,0.0031733259127169626
Track_18,18,18,2,1,0,0,0,92,1395.0,555.0,1950.0,8.098533326269353,214.665219534535,79.35180722101447,0.0,0.005805400233884841,0.005805400233884841,0.005805400233884841,0.005805400233884841,NaN,-1.0,8.098533326269353,8.098533326269353,1.0,0.005805400233884841,1.0,NaN
Track_19,19,19,4,3,1,0,0,147,3585.0,0.0,3585.0,12.375541591139843,161.68203971306562,122.14276111499126,0.0,0.003985293826588436,0.005562066909250146,0.0025785581411100875,0.0038152564294050752,0.00149900489649728,-1.0,19.581822467020984,12.375541591139843,0.6319913078561658,0.0034520339166359396,0.8661930755532304,0.002301533079552962
Track_20,20,20,4,3,1,0,0,177,3210.0,360.0,3570.0,11.962235713415104,182.25776658545678,84.9534327307624,0.0,0.004321422040673055,0.005707467527477435,0.0034409262390501846,0.0038158723554915465,0.0012149023484118826,-1.0,14.443615719790051,12.25135615666369,0.8282022968130438,0.0037265531817492537,0.8623441882498587,0.00664887334093078
Track_21,21,21,2,1,0,0,0,221,3330.0,255.0,3585.0,9.024369072236597,131.54256197037316,59.131305380948795,0.0,0.0027100207424133925,0.0027100207424133925,0.0027100207424133925,0.0027100207424133925,NaN,-1.0,9.024369072236597,9.024369072236597,1.0,0.0027100207424133925,1.0,NaN
Track_22,22,22,2,1,0,0,0,172,2595.0,990.0,3585.0,5.583936297525466,121.86951109012551,71.0450064650956,0.0,0.0021518058950001796,0.0021518058950001796,0.0021518058950001796,0.0021518058950001796,NaN,-1.0,5.583936297525466,5.583936297525466,1.0,0.0021518058950001796,1.0,NaN
Track_23,23,23,2,1,0,0,0,238,3585.0,0.0,3585.0,14.050472703068449,168.64991534714233,193.18776758008687,0.0,0.003919239247717838,0.003919239247717838,0.003919239247717838,0.003919239247717838,NaN,-1.0,14.050472703068449,14.050472703068449,1.0,0.003919239247717838,1.0,NaN
Track_24,24,24,2,1,0,0,0,138,2085.0,1500.0,3585.0,13.06169417574259,181.05546647604746,174.98931592402778,0.0,0.006264601523137933,0.006264601523137933,0.006264601523137933,0.006264601523137933,NaN,-1.0,13.06169417574259,13.06169417574259,1.0,0.006264601523137933,1.0,NaN
Track_25,25,25,4,3,1,0,0,168,3450.0,135.0,3585.0,18.145118470890367,182.5583416128091,163.51281487966617,0.0,0.005449314121299726,0.005778392472647029,0.005099411389514203,0.005470138501737944,3.399692176190858E-4,-1.0,23.219413713980757,18.145118470890367,0.7814632485731076,0.0052594546292435845,0.9651590112388571,0.0034334345940872056
Track_26,26,26,2,1,0,0,0,134,2025.0,1560.0,3585.0,12.504226868412681,194.93656773922768,180.72756644620858,0.0,0.006174926848598855,0.006174926848598855,0.006174926848598855,0.006174926848598855,NaN,-1.0,12.504226868412681,12.504226868412681,1.0,0.006174926848598855,1.0,NaN
Track_27,27,27,4,3,1,0,0,92,1485.0,2100.0,3585.0,3.76411207573235,224.74814545208127,214.74719454199473,0.0,0.012782371851647998,0.03303646359753556,0.0025950713776160626,0.002715580579792373,0.017540661474273862,-1.0,6.837808547733921,6.437575735672009,0.5504851517054822,0.0025347556065537713,0.19830088155563805,0.03490658503988659
Track_28,28,28,4,3,1,0,0,71,1680.0,1905.0,3585.0,6.508629752100742,175.67244098619216,207.31479386564627,0.0,0.0037763707746324817,0.00452257188337891,0.0027081024365737936,0.00409843800394474,9.491418853337855E-4,-1.0,10.935552140253819,6.508629752100742,0.595180715945969,0.0038741843762504415,1.0259014825225892,0.002908882086657216
Track_29,29,29,4,3,1,0,0,103,2280.0,1305.0,3585.0,14.078927450461077,131.4879119654,208.298493955163,0.0,0.006874487350566108,0.00849704469116888,0.005889137389238897,0.0062372799712905455,0.0014159166843488186,-1.0,25.035083260067523,14.570146393795305,0.5623679100327906,0.006174968180026788,0.898244169366067,0.0020138414446088417
Track_30,30,30,4,3,1,0,0,71,1755.0,1830.0,3585.0,15.309806545446937,121.95148609758525,217.80759482049115,0.0,0.00846375495835134,0.011813122334449793,0.005538719346838394,0.008039423193765834,0.003158651024973145,-1.0,21.923418336113627,16.444839413893856,0.6983311776807938,0.008723536493132159,1.0306934139822288,0.004654211338651545
Track_31,31,31,2,1,0,0,0,63,960.0,2625.0,3585.0,4.9848474121545445,161.70936471555223,162.8023648150152,0.0,0.0051925493876609835,0.0051925493876609835,0.0051925493876609835,0.0051925493876609835,NaN,-1.0,4.9848474121545445,4.9848474121545445,1.0,0.0051925493876609835,1.0,NaN
Track_32,32,32,4,3,1,0,0,127,3390.0,195.0,3585.0,16.489818324601554,83.177307569135,226.25102058884292,0.0,0.006541881219401802,0.009058044485972612,0.003143385785560694,0.0074242133866720995,0.0030544523937425386,-1.0,30.26421978106426,18.94204175799875,0.5448618349949638,0.004864253193097803,0.743555718907198,0.002137137859584893
Track_33,33,33,4,3,1,0,0,71,1740.0,1845.0,3585.0,12.134270313775477,91.01958328278208,218.68199490006157,0.0,0.008536529079132809,0.010221575004237394,0.006203217994992498,0.009184794238168538,0.0020861409470003724,-1.0,23.800740636359517,15.468558166755017,0.5098274250860244,0.006973718571135332,0.8169267048105415,0.002908882086657216
Track_34,34,34,2,1,0,0,0,123,1860.0,435.0,2295.0,10.864772854223752,64.10445583350548,224.72082044959467,0.0,0.005841275728077286,0.005841275728077286,0.005841275728077286,0.005841275728077286,NaN,-1.0,10.864772854223752,10.864772854223752,1.0,0.005841275728077286,1.0,NaN
Track_35,35,35,2,1,0,0,0,117,1770.0,1815.0,3585.0,14.315380775839701,72.35660658445121,199.36321814205286,0.0,0.008087785749061977,0.008087785749061977,0.008087785749061977,0.008087785749061977,NaN,-1.0,14.315380775839701,14.315380775839701,1.0,0.008087785749061977,1.0,NaN
Track_36,36,36,4,3,1,0,0,235,3585.0,0.0,3585.0,23.56118839009573,84.02438264621884,184.11586675454387,0.0,0.015548815517372706,0.020894094161090657,0.006782122007478823,0.01897023038354864,0.007652875229673238,-1.0,25.8026065109838,24.38370293907016,0.9131321046990376,0.006572158546749157,0.4226790484076474,0.06981317007977318
Track_37,37,37,4,3,1,0,0,131,3585.0,0.0,3585.0,24.197057289277037,113.61736033917981,198.92601810226765,0.0,0.007396139650427893,0.009742649205084357,0.0032467203460631046,0.00919904940013622,0.0036037668639301973,-1.0,42.71554939376803,24.197057289277037,0.5664695323527141,0.00674952783522372,0.9125744177684957,0.0015866629563584813
Track_38,38,38,4,3,1,0,0,115,3060.0,525.0,3585.0,16.46988316014361,111.84123517755242,191.056417386134,0.0,0.006136921741780495,0.008709718674125342,0.0022842235180125475,0.007416823033203593,0.003398581687578972,-1.0,31.07535761452891,16.46988316014361,0.5299981858436703,0.005382314758216866,0.8770381935252288,0.0018055130193044787
Track_40,39,40,4,3,1,0,0,216,3585.0,0.0,3585.0,20.04247488110045,111.70461016511953,236.6345215337415,0.0,0.005621973985661553,0.007725128486096894,0.0037278864251230346,0.0054129070457647295,0.002006805362391431,-1.0,32.30257514815165,20.04247488110045,0.6204605914289555,0.00559064850239901,0.9944280277101181,9.651590333609195E-4
