LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2013 ? ID2018,0,2013,2018,-1.0,0.016110731556870733,0.010832828087140875,2.1124014769924706,3487.5,156.39550000000003,155.0595,0.0,
ID2010 ? ID2013,0,2010,2013,-1.0,NaN,0.005885116576736317,10.328379592172237,2512.5,161.40550000000002,158.65000000000003,0.0,
ID2013 ? ID2015,0,2013,2015,-1.0,0.016110731556870733,0.014124279784167158,2.754234557912596,3487.5,157.0635,154.0575,0.0,
ID2022 ? ID2024,1,2022,2024,-1.0,NaN,0.00693065541323815,2.3910761175671618,1612.5,179.6085,163.159,0.0,
ID2024 ? ID2026,1,2024,2026,-1.0,0.004759988869075444,0.006680191686873243,4.408926513336341,2115.0,182.1135,162.99200000000002,0.0,
ID2024 ? ID2029,1,2024,2029,-1.0,0.0017453292519943296,0.0075992872675869055,13.67871708165643,2685.0,178.022,155.5605,0.0,
ID2034 ? ID2036,2,2034,2036,-1.0,NaN,0.009623728813559343,8.517000000000019,1867.5,228.79000000000002,212.34050000000002,0.0,
ID2036 ? ID2038,2,2036,2038,-1.0,0.0024639942381096415,0.001982092998996386,2.527168573720392,2947.5,233.8,210.16950000000003,0.0,
ID2036 ? ID2041,2,2036,2041,-1.0,0.0024639942381096415,0.005447902643600425,6.946075870590541,2947.5,235.971,210.921,0.0,
ID2045 ? ID2047,3,2045,2047,-1.0,NaN,0.007646677753312741,8.14371180727807,1972.5,193.887,283.399,0.0,
ID2053 ? ID2058,4,2053,2058,-1.0,0.0032724923474893677,0.011845783365837316,11.371952031203824,3105.0,198.73000000000002,316.5485,0.0,
ID2051 ? ID2053,4,2051,2053,-1.0,NaN,0.012545782561458755,14.866752335328624,2032.5,195.72400000000002,306.5285,0.0,
ID2053 ? ID2055,4,2053,2055,-1.0,0.0032724923474893677,0.0035862429139486784,3.4427931973907313,3105.0,195.39000000000001,313.04150000000004,0.0,
ID2062 ? ID2064,5,2062,2064,-1.0,NaN,0.023856829151689622,4.652081684579477,2392.5,182.4475,277.4705,0.0,
