TRACK_ID,ID,POSITION_T,element,pathString,event
0,43322,53.5,leaf,attachment/43322,remains
1,43326,3.5,leaf,attachment/43326,remains
2,43352,56,leaf,attachment/43342/43352,remains
2,43363,56,leaf,attachment/43342/43363,remains
4,43407,10.5,leaf,attachment/43407,invasion
5,43422,30.75,leaf,attachment/43422,invasion
6,43432,17.75,leaf,attachment/43432,invasion
7,43460,55.25,leaf,attachment/43436/43460,remains
7,43486,55.25,leaf,attachment/43436/43486,remains
8,43505,41,leaf,attachment/43505,remains
9,43530,30.75,leaf,attachment/43512/43515/43530,invasion
9,43549,51,leaf,attachment/43512/43549,remains
9,43516,22.75,leaf,attachment/43512/43515/43516,remains
11,43561,33.75,leaf,attachment/43561,invasion
12,43598,59.5,leaf,attachment/43574/43598,remains
12,43580,33.75,leaf,attachment/43574/43580,invasion
13,45698,33.5,leaf,attachment/45687/45698,invasion
13,45710,36.75,leaf,attachment/45687/45710,invasion
14,45720,11,leaf,attachment/45720,invasion
15,45762,55.75,leaf,attachment/45727/45762,invasion
15,45741,42.75,leaf,attachment/45727/45741,invasion
16,45776,26.25,leaf,attachment/45776,detach
17,45805,59.5,leaf,attachment/45788/45805,remains
17,45823,59.5,leaf,attachment/45788/45823,remains
18,45844,41.75,leaf,attachment/45834/45844,remains
18,45855,41.75,leaf,attachment/45834/45855,remains
19,45895,59.5,leaf,attachment/45868/45895,remains
19,45881,59.5,leaf,attachment/45868/45881,remains
20,45909,30.75,leaf,attachment/45909,remains
21,45931,47.5,leaf,attachment/45918/45931,invasion
21,45945,50.25,leaf,attachment/45918/45945,invasion
22,46002,42.5,leaf,attachment/45993/46002,remains
22,46011,42.5,leaf,attachment/45993/46011,remains
23,46066,35.25,leaf,attachment/46053/46066,invasion
23,46079,34,leaf,attachment/46053/46079,invasion
24,46100,42,leaf,attachment/46091/46100,invasion
24,46111,43.25,leaf,attachment/46091/46111,remains
25,46153,46.5,leaf,attachment/46120/46153,remains
25,46137,46.5,leaf,attachment/46120/46137,remains
26,46209,59.25,leaf,attachment/46156/46205/46209,remains
26,46214,59.25,leaf,attachment/46156/46205/46214,remains
26,46180,59.25,leaf,attachment/46156/46178/46180,remains
26,46184,59.25,leaf,attachment/46156/46178/46184,remains
28,46250,52.5,leaf,attachment/46243/46250,remains
28,46257,49.25,leaf,attachment/46243/46257,invasion
29,46277,45,leaf,attachment/46277,remains
30,46298,44.25,leaf,attachment/46298,remains
31,46316,39.5,leaf,attachment/46316,remains
32,46331,30.25,leaf,attachment/46331,remains
33,46357,59.25,leaf,attachment/46339/46357,invasion
33,46377,59.5,leaf,attachment/46339/46377,remains
34,46401,54.5,leaf,attachment/46393/46401,invasion
34,46411,55.5,leaf,attachment/46393/46411,invasion
2,43342,34.25,node,attachment/43342,NA
7,43436,2.25,node,attachment/43436,NA
9,43512,12.5,node,attachment/43512,NA
9,43515,20.25,node,attachment/43512/43515,NA
12,43574,20.5,node,attachment/43574,NA
13,45687,8.5,node,attachment/45687,NA
15,45727,11,node,attachment/45727,NA
17,45788,21.75,node,attachment/45788,NA
18,45834,19.75,node,attachment/45834,NA
19,45868,28.5,node,attachment/45868,NA
21,45918,16.5,node,attachment/45918,NA
22,45993,23.75,node,attachment/45993,NA
23,46053,5.25,node,attachment/46053,NA
24,46091,22,node,attachment/46091,NA
25,46120,12.5,node,attachment/46120,NA
26,46156,0.25,node,attachment/46156,NA
26,46178,54.25,node,attachment/46156/46178,NA
26,46205,51.25,node,attachment/46156/46205,NA
28,46243,36,node,attachment/46243,NA
33,46339,15.5,node,attachment/46339,NA
34,46393,35.5,node,attachment/46393,NA
NA,NA,0,NA,attachment,NA
