TRACK_ID,ID,POSITION_T,element,pathString,event
0,3043,38.25,leaf,attachment/3036/3043,remains
0,3039,38.25,leaf,attachment/3036/3039,remains
1,3058,59.75,leaf,attachment/3055/3058,remains
1,3062,59.75,leaf,attachment/3055/3062,remains
2,3073,31.25,leaf,attachment/3070/3073,detach
2,3077,33,leaf,attachment/3070/3077,detach
4,3094,43.75,leaf,attachment/3094,remains
5,3108,57.5,leaf,attachment/3108,remains
6,3116,58.25,leaf,attachment/3116,remains
7,3124,59.75,leaf,attachment/3124,remains
8,3201,52.75,leaf,attachment/3201,invasion
10,3213,59.75,leaf,attachment/3213,remains
11,3230,35,leaf,attachment/3230,remains
12,3237,59.75,leaf,attachment/3237,remains
13,3245,59.75,leaf,attachment/3245,remains
14,3253,27.5,leaf,attachment/3253,remains
15,3261,59.75,leaf,attachment/3261,remains
0,3036,25.5,node,attachment/3036,NA
1,3055,25.75,node,attachment/3055,NA
2,3070,17.5,node,attachment/3070,NA
NA,NA,0,NA,attachment,NA
