TRACK_ID,ID,POSITION_T,element,pathString,event
0,2018,32.5,leaf,attachment/2013/2018,remains
0,2015,32.5,leaf,attachment/2013/2015,remains
1,2026,16.75,leaf,attachment/2024/2026,invasion
1,2029,35.75,leaf,attachment/2024/2029,remains
2,2041,36,leaf,attachment/2036/2041,remains
2,2038,36,leaf,attachment/2036/2038,remains
4,2058,35.75,leaf,attachment/2053/2058,remains
4,2055,35.75,leaf,attachment/2053/2055,remains
5,2066,21.5,leaf,attachment/2064/2066,remains
5,2069,21.5,leaf,attachment/2064/2069,remains
6,2080,35.75,leaf,attachment/2075/2080,remains
6,2077,35.75,leaf,attachment/2075/2077,remains
7,2147,35.75,leaf,attachment/2145/2147,remains
7,2150,33.5,leaf,attachment/2145/2150,detach
8,2161,35.75,leaf,attachment/2156/2161,remains
8,2158,21.25,leaf,attachment/2156/2158,detach
9,2169,21,leaf,attachment/2167/2169,remains
9,2172,21,leaf,attachment/2167/2172,remains
10,2178,14.5,leaf,attachment/2178,remains
11,2184,16.75,leaf,attachment/2184,remains
12,2192,35.75,leaf,attachment/2190/2192,remains
12,2200,35.75,leaf,attachment/2190/2195/2200,remains
12,2197,35.75,leaf,attachment/2190/2195/2197,remains
13,2206,27,leaf,attachment/2206,remains
14,2216,25.25,leaf,attachment/2214/2216,remains
14,2219,25.25,leaf,attachment/2214/2219,remains
15,2233,58.5,leaf,attachment/2228/2233,remains
15,2230,58.5,leaf,attachment/2228/2230,remains
16,2346,42.75,leaf,attachment/2344/2346,detach
16,2349,44,leaf,attachment/2344/2349,detach
17,2360,19,leaf,attachment/2355/2360,remains
17,2357,15.75,leaf,attachment/2355/2357,detach
18,2368,34,leaf,attachment/2366/2368,remains
18,2371,34,leaf,attachment/2366/2371,remains
19,2379,34,leaf,attachment/2377/2379,detach
19,2382,35.75,leaf,attachment/2377/2382,remains
20,2420,59.75,leaf,attachment/2413/2418/2420,remains
20,2415,59.75,leaf,attachment/2413/2415,remains
20,2423,59.75,leaf,attachment/2413/2418/2423,remains
21,2434,59.75,leaf,attachment/2429/2434,remains
21,2431,59.75,leaf,attachment/2429/2431,remains
22,2496,58,leaf,attachment/2484/2494/2496,remains
22,2499,58,leaf,attachment/2484/2494/2499,remains
22,2488,58,leaf,attachment/2484/2486/2488,remains
22,2491,58,leaf,attachment/2484/2486/2491,remains
23,2505,10.75,leaf,attachment/2505,remains
24,2513,26.75,leaf,attachment/2511/2513,detach
24,2516,58.75,leaf,attachment/2511/2516,remains
25,2532,33,leaf,attachment/2530/2532,remains
25,2535,33,leaf,attachment/2530/2535,remains
25,2524,33,leaf,attachment/2522/2524,remains
25,2527,33,leaf,attachment/2522/2527,remains
26,2546,32.75,leaf,attachment/2541/2546,remains
26,2543,32.75,leaf,attachment/2541/2543,remains
27,2554,36,leaf,attachment/2552/2554,remains
27,2557,36,leaf,attachment/2552/2557,remains
28,2568,36,leaf,attachment/2563/2568,remains
28,2565,36,leaf,attachment/2563/2565,remains
29,2576,29.5,leaf,attachment/2574/2576,remains
29,2579,29.5,leaf,attachment/2574/2579,remains
30,2585,36,leaf,attachment/2585,remains
31,2680,44.75,leaf,attachment/2678/2680,remains
31,2683,48.75,leaf,attachment/2678/2683,remains
32,2696,33.25,leaf,attachment/2691/2696,remains
32,2693,33.25,leaf,attachment/2691/2693,remains
33,2704,10.5,leaf,attachment/2702/2704,remains
33,2707,10.5,leaf,attachment/2702/2707,remains
34,2713,17.75,leaf,attachment/2713,remains
0,2013,29.25,node,attachment/2013,NA
1,2024,5.75,node,attachment/2024,NA
2,2036,14.75,node,attachment/2036,NA
4,2053,19.75,node,attachment/2053,NA
5,2064,3.25,node,attachment/2064,NA
6,2075,6.75,node,attachment/2075,NA
7,2145,3.25,node,attachment/2145,NA
8,2156,4,node,attachment/2156,NA
9,2167,12.75,node,attachment/2167,NA
12,2195,32.75,node,attachment/2190/2195,NA
12,2190,4.25,node,attachment/2190,NA
14,2214,11.25,node,attachment/2214,NA
15,2228,21.5,node,attachment/2228,NA
16,2344,21,node,attachment/2344,NA
17,2355,6,node,attachment/2355,NA
18,2366,29.25,node,attachment/2366,NA
19,2377,33,node,attachment/2377,NA
20,2418,54.25,node,attachment/2413/2418,NA
20,2413,13.5,node,attachment/2413,NA
21,2429,20.75,node,attachment/2429,NA
22,2484,20,node,attachment/2484,NA
22,2486,44.75,node,attachment/2484/2486,NA
22,2494,46.25,node,attachment/2484/2494,NA
24,2511,23,node,attachment/2511,NA
25,2530,27.25,node,attachment/2530,NA
25,2522,25.75,node,attachment/2522,NA
26,2541,1.5,node,attachment/2541,NA
27,2552,31,node,attachment/2552,NA
28,2563,27.75,node,attachment/2563,NA
29,2574,9.25,node,attachment/2574,NA
31,2678,20.5,node,attachment/2678,NA
32,2691,28.5,node,attachment/2691,NA
33,2702,7,node,attachment/2702,NA
NA,NA,0,NA,attachment,NA
