TRACK_ID,ID,POSITION_T,element,pathString,event
0,3690,10.25,leaf,attachment/3690,invasion
1,3696,20,leaf,attachment/3696,invasion
2,3702,26.75,leaf,attachment/3702,invasion
4,3714,4.75,leaf,attachment/3714,invasion
5,3720,2.75,leaf,attachment/3720,invasion
6,3726,4.25,leaf,attachment/3726,invasion
7,3731,59.75,leaf,attachment/3731,remains
8,3737,4,leaf,attachment/3737,invasion
9,3743,3.25,leaf,attachment/3743,invasion
10,3749,11.5,leaf,attachment/3749,invasion
11,3755,25.5,leaf,attachment/3755,invasion
12,3761,14.5,leaf,attachment/3761,invasion
14,3780,4,leaf,attachment/3778/3780,detach
14,3783,8.75,leaf,attachment/3778/3783,invasion
15,3789,1.75,leaf,attachment/3789,invasion
16,3795,15,leaf,attachment/3795,invasion
17,3801,19.75,leaf,attachment/3801,remains
18,3807,5.25,leaf,attachment/3807,invasion
19,3813,2.25,leaf,attachment/3813,invasion
20,3824,10.5,leaf,attachment/3819/3824,invasion
20,3821,10,leaf,attachment/3819/3821,invasion
21,3832,27,leaf,attachment/3830/3832,remains
21,3835,27,leaf,attachment/3830/3835,remains
22,3841,9,leaf,attachment/3841,invasion
23,3847,6,leaf,attachment/3847,invasion
24,3853,13,leaf,attachment/3853,invasion
25,3859,3.25,leaf,attachment/3859,invasion
26,3867,16,leaf,attachment/3865/3867,invasion
26,3870,13.75,leaf,attachment/3865/3870,invasion
27,3876,10.5,leaf,attachment/3876,invasion
28,3884,5.75,leaf,attachment/3882/3884,detach
28,3887,17.5,leaf,attachment/3882/3887,detach
29,3898,8,leaf,attachment/3896/3898,invasion
29,3901,8,leaf,attachment/3896/3901,invasion
30,3906,18.75,leaf,attachment/3906,detach
31,3916,6.75,leaf,attachment/3916,invasion
32,3924,24.75,leaf,attachment/3922/3924,invasion
32,3927,25.75,leaf,attachment/3922/3927,invasion
33,3933,7.5,leaf,attachment/3933,invasion
34,3945,27.25,leaf,attachment/3940/3945,invasion
34,3942,25.5,leaf,attachment/3940/3942,invasion
35,3951,7.25,leaf,attachment/3951,invasion
14,3778,3.75,node,attachment/3778,NA
20,3819,6.5,node,attachment/3819,NA
21,3830,19.5,node,attachment/3830,NA
26,3865,6.75,node,attachment/3865,NA
28,3882,1.25,node,attachment/3882,NA
29,3896,6.25,node,attachment/3896,NA
32,3922,8.25,node,attachment/3922,NA
34,3940,5.5,node,attachment/3940,NA
NA,NA,0,NA,attachment,NA
