TRACK_ID,ID,POSITION_T,element,pathString,event
0,3273,15.5,leaf,attachment/3268/3273,invasion
0,3270,14,leaf,attachment/3268/3270,invasion
1,3280,41.25,leaf,attachment/3278/3280,detach
1,3283,43.25,leaf,attachment/3278/3283,invasion
2,3296,41.5,leaf,attachment/3289/3291/3296,invasion
2,3301,30.5,leaf,attachment/3289/3299/3301,invasion
2,3304,37.75,leaf,attachment/3289/3299/3304,invasion
2,3293,40,leaf,attachment/3289/3291/3293,invasion
4,3323,19.75,leaf,attachment/3321/3323,invasion
4,3326,21,leaf,attachment/3321/3326,invasion
5,3337,9.25,leaf,attachment/3332/3337,invasion
5,3334,6.75,leaf,attachment/3332/3334,invasion
6,3345,22,leaf,attachment/3343/3345,invasion
6,3348,25.25,leaf,attachment/3343/3348,invasion
7,3356,22,leaf,attachment/3354/3356,invasion
7,3359,22.5,leaf,attachment/3354/3359,invasion
8,3370,14.75,leaf,attachment/3365/3370,invasion
8,3367,9.75,leaf,attachment/3365/3367,invasion
9,3377,5.25,leaf,attachment/3377,invasion
10,3385,40,leaf,attachment/3383/3385,invasion
10,3388,41.75,leaf,attachment/3383/3388,invasion
11,3394,11.25,leaf,attachment/3394,invasion
12,3402,42.75,leaf,attachment/3400/3402,remains
12,3405,42.75,leaf,attachment/3400/3405,remains
13,3443,39.75,leaf,attachment/3441/3443,remains
13,3446,39.75,leaf,attachment/3441/3446,remains
14,3452,4.5,leaf,attachment/3452,invasion
15,3458,39.5,leaf,attachment/3458,invasion
16,3466,40.5,leaf,attachment/3464/3466,remains
16,3469,40.5,leaf,attachment/3464/3469,remains
17,3475,21.25,leaf,attachment/3475,invasion
18,3555,44.25,leaf,attachment/3553/3555,detach
18,3558,55.25,leaf,attachment/3553/3558,remains
19,3569,59.75,leaf,attachment/3564/3569,remains
19,3566,59.75,leaf,attachment/3564/3566,remains
20,3575,12,leaf,attachment/3575,invasion
21,3581,18.5,leaf,attachment/3581,invasion
22,3592,57.75,leaf,attachment/3587/3592,remains
22,3589,45,leaf,attachment/3587/3589,invasion
23,3600,37.5,leaf,attachment/3598/3600,remains
23,3603,37.5,leaf,attachment/3598/3603,remains
24,3611,31.25,leaf,attachment/3609/3611,remains
24,3614,33.25,leaf,attachment/3609/3614,remains
25,3620,36,leaf,attachment/3620,invasion
26,3678,24.25,leaf,attachment/3678,invasion
27,3684,9,leaf,attachment/3684,invasion
28,3692,14,leaf,attachment/3690/3692,invasion
28,3695,24.75,leaf,attachment/3690/3695,invasion
29,3701,17.25,leaf,attachment/3701,invasion
30,3738,59.75,leaf,attachment/3733/3738,remains
30,3735,59.75,leaf,attachment/3733/3735,remains
31,3744,19,leaf,attachment/3744,invasion
32,3750,10.25,leaf,attachment/3750,invasion
33,3761,23.75,leaf,attachment/3756/3761,invasion
33,3758,20.25,leaf,attachment/3756/3758,invasion
34,3767,33.25,leaf,attachment/3767,invasion
0,3268,12,node,attachment/3268,NA
1,3278,1.75,node,attachment/3278,NA
2,3299,23.75,node,attachment/3289/3299,NA
2,3289,2.75,node,attachment/3289,NA
2,3291,24,node,attachment/3289/3291,NA
4,3321,14.25,node,attachment/3321,NA
5,3332,3.75,node,attachment/3332,NA
6,3343,16,node,attachment/3343,NA
7,3354,1.75,node,attachment/3354,NA
8,3365,8.25,node,attachment/3365,NA
10,3383,29,node,attachment/3383,NA
12,3400,17.25,node,attachment/3400,NA
13,3441,17.5,node,attachment/3441,NA
16,3464,5.5,node,attachment/3464,NA
18,3553,7.75,node,attachment/3553,NA
19,3564,17,node,attachment/3564,NA
22,3587,21.25,node,attachment/3587,NA
23,3598,11,node,attachment/3598,NA
24,3609,9.75,node,attachment/3609,NA
28,3690,4.75,node,attachment/3690,NA
30,3733,16.25,node,attachment/3733,NA
33,3756,0.5,node,attachment/3756,NA
NA,NA,0,NA,attachment,NA
