TRACK_ID,ID,POSITION_T,element,pathString,event
0,2614,9.75,leaf,attachment/2614,invasion
1,2626,42.75,leaf,attachment/2623/2626,invasion
1,2630,46.75,leaf,attachment/2623/2630,invasion
2,2638,16.25,leaf,attachment/2638,invasion
4,2659,2.75,leaf,attachment/2659,invasion
6,2677,9,leaf,attachment/2677,invasion
7,2689,9.75,leaf,attachment/2686/2689,invasion
7,2693,36,leaf,attachment/2686/2693,invasion
8,2701,38,leaf,attachment/2701,invasion
9,2712,17.25,leaf,attachment/2709/2712,invasion
9,2716,18.5,leaf,attachment/2709/2716,invasion
10,2731,55.75,leaf,attachment/2724/2731,remains
10,2727,55.75,leaf,attachment/2724/2727,remains
11,2805,30.5,leaf,attachment/2805,invasion
12,2814,49.5,leaf,attachment/2814,invasion
13,2825,36.75,leaf,attachment/2822/2825,invasion
13,2829,44,leaf,attachment/2822/2829,invasion
14,2838,11.5,leaf,attachment/2838,invasion
15,2846,10,leaf,attachment/2846,invasion
16,2880,12.5,leaf,attachment/2877/2880,invasion
16,2884,13.5,leaf,attachment/2877/2884,invasion
17,2892,10,leaf,attachment/2892,invasion
18,2900,13.75,leaf,attachment/2900,invasion
19,2908,11.75,leaf,attachment/2908,invasion
20,2923,43,leaf,attachment/2916/2923,invasion
20,2919,44,leaf,attachment/2916/2919,invasion
21,2938,13.25,leaf,attachment/2931/2938,invasion
21,2934,13,leaf,attachment/2931/2934,invasion
22,2946,45.25,leaf,attachment/2946,invasion
23,2995,51.5,leaf,attachment/2954/2995,remains
23,2991,35,leaf,attachment/2954/2991,invasion
24,3034,10.5,leaf,attachment/3034,invasion
25,3042,4.5,leaf,attachment/3042,invasion
26,3057,45.25,leaf,attachment/3050/3057,invasion
26,3053,42.5,leaf,attachment/3050/3053,invasion
27,3065,18.25,leaf,attachment/3065,invasion
1,2623,31,node,attachment/2623,NA
7,2686,5.75,node,attachment/2686,NA
9,2709,8.5,node,attachment/2709,NA
10,2724,31.5,node,attachment/2724,NA
13,2822,9,node,attachment/2822,NA
16,2877,4.75,node,attachment/2877,NA
20,2916,5,node,attachment/2916,NA
21,2931,11.5,node,attachment/2931,NA
23,2954,16.25,node,attachment/2954,NA
26,3050,4.5,node,attachment/3050,NA
NA,NA,0,NA,attachment,NA
